run_stamp,run_number,run_id,live_exit,options_exit,live_duration_s,options_duration_s
20260716T012002Z,4101,29463829648,0,0,3,5
20260716T014836Z,4102,29465021606,0,0,2,4
20260716T044523Z,4103,29472109404,0,0,2,5
20260716T115128Z,4104,29495912126,0,0,2,5
20260716T130057Z,4105,29500380338,0,0,3,5
20260716T130532Z,4106,29500714743,0,0,1,5
20260716T131102Z,4107,29501064548,0,0,3,5
20260716T131536Z,4108,29501406148,0,0,2,4
20260716T132043Z,4109,29501758141,0,0,1,5
20260716T132531Z,4110,29502092967,0,0,2,4
20260716T133043Z,4111,29502453507,0,0,215,40
20260716T133539Z,4112,29502806097,0,0,216,26
20260716T134043Z,4113,29503173176,0,0,216,37
20260716T134545Z,4114,29503521622,0,0,238,19
20260716T135052Z,4116,29503903560,0,0,249,0
20260716T140109Z,4118,29504630928,0,0,2,60
20260716T140746Z,4119,29504996073,0,0,2,106
20260716T141041Z,4120,29505371351,0,0,1,43
20260716T141536Z,4121,29505733273,0,0,2,47
20260716T142044Z,4122,29506116124,0,0,3,42
20260716T142535Z,4123,29506486469,0,0,2,33
20260716T143049Z,4124,29506876977,0,0,6,61
20260716T143541Z,4125,29507240435,0,0,5,30
20260716T144041Z,4126,29507625445,0,0,2,29
20260716T144536Z,4127,29508000050,0,0,3,44
20260716T145040Z,4128,29508391242,0,0,1,35
20260716T145549Z,4129,29508758964,0,0,4,42
20260716T150053Z,4130,29509141651,0,0,3,57
20260716T150529Z,4131,29509529017,0,0,3,41
20260716T151039Z,4132,29509909076,0,0,3,47
