run_stamp,run_number,run_id,live_exit,options_exit,live_duration_s,options_duration_s,event_type
20260811T004302Z,6669,31446947999,0,0,1,10,schedule
20260811T010221Z,6670,31447994714,0,0,2,10,schedule
20260811T030752Z,6671,31454439539,0,0,2,10,schedule
20260811T130059Z,6672,31493947990,0,0,5,9,workflow_dispatch
20260811T130559Z,6674,31494362207,0,0,2,10,workflow_dispatch
20260811T131055Z,6675,31494783350,0,0,3,11,workflow_dispatch
20260811T131551Z,6676,31495210237,0,0,2,10,workflow_dispatch
20260811T132050Z,6677,31495627154,0,0,1,10,workflow_dispatch
20260811T132545Z,6678,31496048357,0,0,2,10,workflow_dispatch
20260811T133101Z,6679,31496481684,0,0,219,0,workflow_dispatch
20260811T133616Z,6680,31496927582,0,0,216,0,workflow_dispatch
20260811T134127Z,6681,31497364886,0,0,216,0,workflow_dispatch
20260811T134617Z,6682,31497811084,0,0,223,0,workflow_dispatch
20260811T135119Z,6683,31498255761,0,0,250,0,workflow_dispatch
20260811T140138Z,6685,31499161640,0,0,5,101,workflow_dispatch
20260811T140739Z,6686,31499619166,0,0,4,80,workflow_dispatch
20260811T141059Z,6687,31500067413,0,0,3,75,workflow_dispatch
20260811T141550Z,6688,31500515391,0,0,4,90,workflow_dispatch
20260811T142101Z,6689,31500955650,0,0,2,77,workflow_dispatch
20260811T142356Z,6690,31501229209,0,0,3,91,schedule
20260811T142637Z,6691,31501409395,0,0,3,85,workflow_dispatch
20260811T143125Z,6692,31501860860,0,0,2,85,workflow_dispatch
20260811T143554Z,6693,31502322985,0,0,3,70,workflow_dispatch
20260811T144049Z,6694,31502786215,0,0,3,82,workflow_dispatch
20260811T144547Z,6695,31503246557,0,0,3,115,workflow_dispatch
20260811T145648Z,6697,31504177794,0,0,3,72,workflow_dispatch
20260811T150103Z,6698,31504638551,0,0,3,93,workflow_dispatch
20260811T150546Z,6699,31505103233,0,0,2,87,workflow_dispatch
20260811T151050Z,6700,31505546403,0,0,2,99,workflow_dispatch
20260811T151554Z,6701,31505992621,0,0,3,83,workflow_dispatch
20260811T152053Z,6702,31506443053,0,0,3,73,workflow_dispatch
20260811T152548Z,6703,31506894779,0,0,3,89,workflow_dispatch
20260811T152814Z,6704,31507118127,0,0,3,82,schedule
20260811T153637Z,6706,31507821962,0,0,2,20,workflow_dispatch
20260811T154047Z,6707,31508271393,0,0,3,22,workflow_dispatch
20260811T154943Z,6708,31508725104,0,0,2,20,workflow_dispatch
20260811T155612Z,6710,31509618573,0,0,2,15,workflow_dispatch
20260811T160048Z,6711,31510066804,0,0,2,31,workflow_dispatch
20260811T160545Z,6712,31510519374,0,0,2,17,workflow_dispatch
20260811T161047Z,6713,31510954731,0,0,4,17,workflow_dispatch
20260811T161546Z,6714,31511393490,0,0,1,14,workflow_dispatch
20260811T162333Z,6715,31511827847,0,0,2,13,workflow_dispatch
20260811T162714Z,6717,31512346294,0,0,2,16,schedule
20260811T163432Z,6718,31512715499,0,0,2,14,workflow_dispatch
20260811T163547Z,6719,31513163664,0,0,2,14,workflow_dispatch
20260811T164045Z,6720,31513597278,0,0,2,14,workflow_dispatch
20260811T164547Z,6721,31514036825,0,0,2,15,workflow_dispatch
20260811T165110Z,6722,31514469014,0,0,3,16,workflow_dispatch
20260811T165942Z,6723,31514900299,0,0,2,16,workflow_dispatch
20260811T170108Z,6724,31515323816,0,0,3,18,workflow_dispatch
