run_stamp,run_number,run_id,live_exit,live_options_exit,options_exit,live_duration_s,live_options_duration_s,options_duration_s,event_type
20260828T130059Z,8392,33173442426,0,0,0,1,1,9,workflow_dispatch
20260828T130554Z,8393,33173809604,0,0,0,3,1,10,workflow_dispatch
20260828T131055Z,8394,33174176654,0,0,0,1,1,9,workflow_dispatch
20260828T131557Z,8395,33174544806,0,0,0,1,1,9,workflow_dispatch
20260828T132058Z,8396,33174910985,0,0,0,1,1,9,workflow_dispatch
20260828T132552Z,8397,33175284079,0,0,0,2,1,9,workflow_dispatch
20260828T133056Z,8398,33175661127,0,0,0,218,8,0,workflow_dispatch
20260828T133626Z,8399,33176052219,0,0,0,218,0,0,workflow_dispatch
20260828T134117Z,8400,33176436109,0,0,0,217,3,0,workflow_dispatch
20260828T135132Z,8402,33177216592,0,0,0,0,0,0,workflow_dispatch
20260828T135628Z,8403,33177609968,0,0,0,0,0,0,workflow_dispatch
20260828T140623Z,8405,33178402748,0,0,0,3,2,56,workflow_dispatch
20260828T141319Z,8406,33178806517,0,0,0,4,3,58,workflow_dispatch
20260828T141556Z,8407,33179217288,0,0,0,3,3,66,workflow_dispatch
20260828T142055Z,8408,33179626148,0,0,0,1,2,64,workflow_dispatch
20260828T142553Z,8409,33180026455,0,0,0,1,2,42,workflow_dispatch
20260828T143056Z,8410,33180453278,0,0,0,3,4,64,workflow_dispatch
20260828T143835Z,8411,33180892935,0,0,0,3,3,66,workflow_dispatch
20260828T144235Z,8412,33181315332,0,0,0,3,3,46,workflow_dispatch
20260828T144725Z,8413,33181727076,0,0,0,2,2,56,workflow_dispatch
20260828T145101Z,8414,33182137344,0,0,0,2,3,57,workflow_dispatch
20260828T145556Z,8415,33182552765,0,0,0,2,3,45,workflow_dispatch
20260828T150348Z,8416,33182966083,0,0,0,3,3,64,workflow_dispatch
20260828T150910Z,8417,33183383156,0,0,0,3,3,0,workflow_dispatch
20260828T151128Z,8418,33183803302,0,0,0,2,3,57,workflow_dispatch
20260828T151556Z,8419,33184208417,0,0,0,1,2,65,workflow_dispatch
20260828T152105Z,8420,33184615322,0,0,0,3,4,66,workflow_dispatch
20260828T152553Z,8421,33185028280,0,0,0,2,2,56,workflow_dispatch
20260828T153101Z,8422,33185430035,0,0,0,2,3,56,workflow_dispatch
20260828T153800Z,8423,33185848087,0,0,0,2,1,10,workflow_dispatch
20260828T154052Z,8424,33186262389,0,0,0,2,2,10,workflow_dispatch
20260828T154558Z,8425,33186665039,0,0,0,2,2,10,workflow_dispatch
20260828T155104Z,8426,33187060935,0,0,0,3,1,11,workflow_dispatch
20260828T155603Z,8427,33187453143,0,0,0,4,1,12,workflow_dispatch
20260828T160100Z,8428,33187847227,0,0,0,2,2,11,workflow_dispatch
20260828T160557Z,8429,33188264822,0,0,0,2,1,9,workflow_dispatch
20260828T161102Z,8430,33188661892,0,0,0,3,1,8,workflow_dispatch
20260828T161558Z,8431,33189060573,0,0,0,3,1,12,workflow_dispatch
20260828T162054Z,8432,33189461663,0,0,0,1,1,9,workflow_dispatch
20260828T162556Z,8433,33189855184,0,0,0,2,2,11,workflow_dispatch
20260828T163059Z,8434,33190249642,0,0,0,1,1,9,workflow_dispatch
20260828T164152Z,8436,33191048312,0,0,0,2,2,9,workflow_dispatch
20260828T164555Z,8437,33191441058,0,0,0,2,2,9,workflow_dispatch
20260828T165058Z,8438,33191831238,0,0,0,1,1,9,workflow_dispatch
20260828T165901Z,8439,33192218929,0,0,0,1,1,10,workflow_dispatch
20260828T170655Z,8441,33193022071,0,0,0,1,1,10,workflow_dispatch
20260828T171100Z,8442,33193410084,0,0,0,2,1,7,workflow_dispatch
20260828T171601Z,8443,33193799542,0,0,0,2,1,11,workflow_dispatch
20260828T172101Z,8444,33194186191,0,0,0,3,1,11,workflow_dispatch
20260828T172559Z,8445,33194571783,0,0,0,3,1,11,workflow_dispatch
20260828T173115Z,8446,33194960688,0,0,0,4,1,7,workflow_dispatch
20260828T173558Z,8447,33195349052,0,0,0,1,1,9,workflow_dispatch
20260828T175604Z,8451,33196889700,0,0,0,1,1,10,workflow_dispatch
20260828T180055Z,8452,33197274184,0,0,0,2,1,9,workflow_dispatch
