date,time,ticker,strategy,pnl_pct,pnl_dollar,dollars,hold_days,reason,method,fractional
2026-06-11,2026-06-11 13:31:27,ORCL,GapDown,-13.91,-2.81,17.26,1,stop_loss (-13.9%),,True
2026-06-12,2026-06-12 13:59:03,SATS,RSIRecovery,-6.95,-0.68,9.15,1,stop_loss (-7.0%),,True
2026-05-27,2026-05-27 13:31:44,APA,Pullback50,-6.86,-1.44,19.48,1,stop_loss (-6.9%),,True
2026-06-10,2026-06-10 13:31:24,NOW,GapDown,-5.98,-1.21,19.07,1,stop_loss (-6.0%),,True
2026-06-10,2026-06-10 13:30:56,COIN,GapDown,-5.95,-1.21,19.11,1,stop_loss (-5.9%),,True
2026-06-11,2026-06-11 13:30:41,AA,GapDown,-5.93,-1.2,18.97,1,stop_loss (-5.9%),,True
2026-06-11,2026-06-11 13:30:48,BILL,GapDown,-5.73,-1.16,19.01,1,stop_loss (-5.7%),,True
2026-06-15,2026-06-15 13:39:50,MUR,Pullback50,-5.69,-0.17,2.84,3,stop_loss (-5.7%),,True
2026-06-15,2026-06-15 13:41:54,PBF,Pullback50,-5.17,-0.84,15.42,3,stop_loss (-5.2%),,True
2026-06-15,2026-06-15 13:41:46,OVV,Pullback50,-5.11,-0.15,2.85,3,stop_loss (-5.1%),,True
2026-05-27,2026-05-27 13:34:30,OXY,Pullback50,-5.08,-1.07,19.96,1,stop_loss (-5.1%),,True
2026-06-10,2026-06-10 13:30:50,AVGO,Pullback50,-5.04,-1.02,19.28,1,stop_loss (-5.0%),,True
2026-06-15,2026-06-15 13:34:02,EOG,Pullback50,-5.04,-0.15,2.83,3,stop_loss (-5.0%),,True
2026-06-10,2026-06-10 13:30:38,ABNB,Pullback50,-4.96,-1.01,19.31,1,stop_loss (-5.0%),,True
2026-06-11,2026-06-11 13:31:34,PEGA,GapDown,-4.7,-0.95,19.22,1,stop_loss (-4.7%),,True
2026-06-08,2026-06-08 13:34:17,GWRE,GapDown,-4.66,-0.96,19.64,3,stop_loss (-4.7%),,True
2026-05-27,2026-05-27 13:32:47,CVX,Pullback50,-4.36,-0.92,20.0,1,stop_loss (-4.4%),,True
2026-06-15,2026-06-15 13:32:54,CVX,Pullback50,-4.22,-0.13,2.85,3,stop_loss (-4.2%),,True
2026-06-01,2026-06-01 13:32:14,JCI,Pullback50,-4.05,-0.84,19.93,3,stop_loss (-4.0%),,True
2026-06-15,2026-06-15 13:36:22,HAL,Pullback50,-3.89,-0.12,2.88,3,stop_loss (-3.9%),,True
2026-06-10,2026-06-10 13:31:12,EME,Pullback50,-3.87,-0.79,19.53,1,stop_loss (-3.9%),,True
2026-05-27,2026-05-27 13:32:06,AZO,VolumeSpike,-3.86,-0.81,20.22,1,stop_loss (-3.9%),,True
