strategy,oos_trades,is_ret_pct,oos_ret_pct,oos_max_dd,oos_win_rate,oos_taken
Keltner_BO,11725,256.50686833455626,315.91200122242566,1.2,50.99360341151385,2171
BB_Breakout_20,6869,266.58400992295606,251.85022511752967,1.4,50.16741883825885,1850
VolumeSpike,2588,288.37917624896005,210.82220039023224,1.1,56.14374034003091,1013
SMA_20_50,45746,147.6960673243436,184.3777738875746,1.5,52.54448476369519,1603
ADX_DI_14,62803,135.89839356342105,181.58370186598464,1.5,52.38603251437033,1678
GapDown,1371,254.83919287920753,154.38692370443562,0.7,53.82932166301969,570
Donchian20,14870,194.24231123477202,153.96171485802978,2.3,49.441829186281105,1725
EMA_9_21,2829,146.45156811300103,132.23918534381392,1.9,54.612937433722166,1394
52wkLow,5165,287.7200956268553,128.04538390068328,1.6,55.02420135527589,736
MACD_Cross,8410,203.69548235011968,127.89046019880912,1.0,54.95838287752676,1233
RSIRecovery,1501,178.86364866595576,110.91617714603794,1.5,57.22851432378414,556
MomReversal,1218,211.6472851988558,108.07863262853006,1.6,57.307060755336614,488
Pullback50,6592,138.67256295848756,95.1777725678722,2.3,55.21844660194175,945
TEMA_9_21,1808,139.4108630239878,86.36100749279409,2.4,50.11061946902655,1059
GoldenCross,577,76.04783503984666,61.29523246166861,1.7,53.89948006932409,511
EarningsDip,151,40.71288151533115,33.46321167186068,0.8,52.980132450331126,127
RubberBand,289,45.41865868035243,21.52125522349702,1.2,62.629757785467135,117
