strategy,oos_trades,is_ret_pct,oos_ret_pct,oos_max_dd,oos_win_rate,oos_taken
ADX_DI_14,535272,28752.41958169933,22764.977408487157,2.6,52.95419898668341,277476
SMA_20_50,378431,22656.29102715361,16408.034651623962,2.0,53.70516686000882,188811
Keltner_BO,96770,8690.002013816651,7221.958615597026,3.8,50.64379456443112,70141
52wkLow,37288,7323.371991930982,6408.3397867575695,3.4,53.502467281699204,22192
MACD_Cross,65985,8073.450851354601,6297.7509002948,2.1,55.27923012805941,50398
Donchian20,130430,6356.547564635516,5253.395553266505,3.0,50.099670321245114,75794
Pullback50,55270,7234.010598935023,4425.9806848905755,1.9,56.79211145286774,39552
BB_Breakout_20,53673,4655.066324060788,4009.747180924518,2.9,49.80716561399586,40272
VolumeSpike,22539,3008.0592864436608,2942.756638976803,2.1,54.82940680598074,16506
GapDown,13511,3207.607569730146,2559.869176590156,2.0,54.64436385167642,8031
RSIRecovery,13632,3126.121391863648,2227.5109532423758,2.4,54.78286384976526,9252
EMA_9_21,22786,2188.2427289533366,1794.3675419466213,2.4,53.62064425524444,19490
MomReversal,8048,2654.9378428626133,1729.0859148696,1.6,54.10039761431411,6074
TEMA_9_21,16392,1740.4524731971449,1500.8845147210964,2.5,53.20888238164958,14695
RubberBand,6555,1235.11228828772,672.8328483930013,2.0,56.475972540045774,2436
GoldenCross,4890,560.5917937389419,478.72234948095473,1.8,53.00613496932516,4683
EarningsDip,932,304.85593365237634,262.5796921946832,1.4,50.64377682403433,905
