ts,event,strategy_id,occ,qty,limit,cost,reason,return_pct,order_id
2026-08-18T10:00:26.145562-04:00,entry,S404,AVGO260821C00412500,1,0.32,33.0,gap -2.1%,,7cb280cf-0448-4fed-8ba5-f1f7b1500d48
2026-08-18T10:55:52.552675-04:00,entry,S406,TSLA260821C00357500,1,0.62,63.0,RB gap -1.8% reclaim,,334c6131-c884-4578-a9bb-9d8db19169f5
2026-08-18T10:55:52.552675-04:00,entry,S218,NKE260821C00040000,1,0.54,55.00000000000001,low=39.23 BB_lower=39.60 touch+green,,6fe24f90-9d69-4165-858a-275b5e90e561
2026-08-18T10:55:52.552675-04:00,entry,S210,CELH260821C00030000,1,0.71,72.0,MA8 28.53 crossed above MA21,,accf9428-a2cf-4585-9e23-cd6ea4481ce5
2026-08-18T11:55:59.103674-04:00,exit,S406,TSLA260821C00357500,1,,,take_profit (+54.8%),54.84,4267cfd4-ba4b-45e8-8cd9-b799f6e1b5c2
2026-08-18T14:26:06.110158-04:00,exit,S218,NKE260821C00040000,1,,,take_profit (+63.0%),62.96,29c86933-4091-4fe0-8df6-f45c579bc9df
2026-08-18T15:34:37.235747-04:00,exit,S404,AVGO260821C00412500,1,,,EOD,-38.71,5ac7a42f-895b-46c5-8f8e-787813906c13
2026-08-18T15:34:37.235747-04:00,exit,S210,CELH260821C00030000,1,,,EOD,-11.43,bc9c0fa0-420c-4f89-8125-b82e118eff47
2026-08-19T09:34:34.436524-04:00,entry,S404,AVGO260821C00392500,1,0.69,70.0,gap -2.0%,,d756ab40-a7d4-4584-b6b5-985f2b72d1d5
2026-08-19T09:44:35.396403-04:00,reconcile_drop,S404,AVGO260821C00392500,1,,,missing_from_broker,,
2026-08-19T09:44:35.396403-04:00,entry,S404,AVGO260821C00385000,1,0.71,72.0,gap -2.0%,,642a7630-c2e1-49d4-ad0f-1b801cad0a11
2026-08-19T10:12:03.080519-04:00,reconcile_drop,S404,AVGO260821C00385000,1,,,missing_from_broker,,
2026-08-19T10:12:03.080519-04:00,entry,S404,AVGO260821C00380000,1,0.54,55.00000000000001,gap -2.0%,,8acba8f2-f296-4ac6-af64-e0ccdaed8e15
2026-08-19T12:32:08.777553-04:00,exit,S404,AVGO260821C00380000,1,,,take_profit (+53.7%),53.7,b0c7b4b9-fda4-4256-bffc-e7a1d9e97a1f
2026-08-20T09:34:32.837652-04:00,entry,S404,WMT260821C00110000,1,0.09,10.0,gap -6.9%,,e6cd86dc-0e0a-4897-bbe7-543a0fcc9847
2026-08-20T09:34:32.837652-04:00,entry,S406,CPB260821C00023000,1,0.61,62.0,RB gap -1.6% reclaim,,e00e118a-a87b-4b3e-948e-a89950a35282
2026-08-20T09:39:29.376335-04:00,fill_confirm,S404,WMT260821C00110000,1,,,broker_position,,e6cd86dc-0e0a-4897-bbe7-543a0fcc9847
2026-08-20T09:39:29.376335-04:00,fill_confirm,S406,CPB260821C00023000,1,,,broker_position,,e00e118a-a87b-4b3e-948e-a89950a35282
2026-08-20T10:01:36.379898-04:00,exit,S404,WMT260821C00110000,1,,,stop_loss (-66.7%),-66.67,709af2b2-487c-4768-b9f3-c8bab5fb7bb6
2026-08-20T10:05:59.721065-04:00,exit,S406,CPB260821C00023000,1,,,stop_loss (-50.0%),-50.0,17ac582e-cc6c-4ef7-af83-c7f7ff772a03
2026-08-20T10:45:59.984352-04:00,entry,S218,CL260821C00090000,1,0.52,53.0,low=90.19 BB_lower=89.78 touch+green,,4099c642-2cc0-4f31-b470-61757da7a595
2026-08-20T10:57:00.795760-04:00,fill_confirm,S218,CL260821C00090000,1,,,broker_position,,4099c642-2cc0-4f31-b470-61757da7a595
2026-08-20T15:21:52.128480-04:00,exit,S218,CL260821C00090000,1,,,stop_loss (-61.5%),-61.54,84851455-0853-4fcb-869d-28a9fd16be44
2026-08-21T10:01:35.106321-04:00,entry,S210,AMD260824C00497500,1,0.62,63.0,MA8 484.47 crossed above MA21,,d46f8249-4f0d-4167-bd7b-a6b0747ab0ab
2026-08-21T10:06:44.105633-04:00,fill_confirm,S210,AMD260824C00497500,1,,,broker_position,,d46f8249-4f0d-4167-bd7b-a6b0747ab0ab
2026-08-21T10:15:59.020550-04:00,exit,S210,AMD260824C00497500,1,,,stop_loss (-46.8%),-46.77,97c2356d-3448-4946-ad52-087311fddb06
2026-08-21T11:20:57.290054-04:00,orphan_adopt,ORPHAN,AMD260824C00502500,1,0.62,62.0,broker_position_untracked,,orphan:AMD260824C00502500
2026-08-21T11:20:57.290054-04:00,orphan_adopt,ORPHAN,COST260828C01000000,1,0.63,63.0,broker_position_untracked,,orphan:COST260828C01000000
2026-08-21T11:20:57.290054-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T11:20:57.290054-04:00,exit,ORPHAN,AMD260824C00502500,1,,,stop_loss (-77.4%),-77.42,d6ae2ebe-9f16-46f6-9f85-5571a76bf5a9
2026-08-21T11:20:57.290054-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,fb05cfc6-9da8-4f7d-923c-21eb890bbe11
2026-08-21T11:25:54.140347-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T11:25:54.140347-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,8a50733a-d943-442d-8d9e-3c0a5109feba
2026-08-21T11:36:22.069672-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T11:36:22.069672-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,ee49b930-f7d9-4c6c-9652-b9f241ba72eb
2026-08-21T11:41:04.034997-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T11:41:04.034997-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,fd466332-45c9-41a7-8586-cea992705e87
2026-08-21T11:46:04.039304-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T11:46:04.039304-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,c10b09ff-9397-4039-b628-d9390c06369d
2026-08-21T11:52:53.577804-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T11:52:53.577804-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,cc9820f9-024e-4bae-bb2b-23484155619d
2026-08-21T12:01:48.159256-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:01:48.159256-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,f9f85954-353c-420f-bd54-246396a9f6c1
2026-08-21T12:05:52.251914-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:05:52.251914-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,ba4149a4-a08c-4a90-97f4-f35a4bb0f02d
2026-08-21T12:10:52.307535-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:10:52.307535-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,ca56ef57-c07a-46db-ac29-f98cc0171530
2026-08-21T12:16:04.594997-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:16:04.594997-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,78436089-d7eb-4269-a6d5-cd013380080e
2026-08-21T12:20:57.084421-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:20:57.084421-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,f2368d24-d726-4ac2-8aee-8f51e6d1a1f7
2026-08-21T12:25:54.841266-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:25:54.841266-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,19e93439-249a-4269-89b3-d93020f08786
2026-08-21T12:30:54.084047-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:30:54.084047-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,530e4157-b3a6-4f7d-9e93-90e57300c899
2026-08-21T12:35:55.325777-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:35:55.325777-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,6329be1e-fba2-4b40-9c40-c1c9ab3d30f5
