ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-08-04 14:03:31.088262+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,2e704b645428,NKE,NKE260821C00044000,1,0.68,0.67,67.0,,,,-0.01,,0.5,-0.5,0.17322834645669288,RB gap -3.0% reclaim,791d96a1-f41f-47a1-9b5c-9fd08a95f5ba
2026-08-04 14:03:31.088262+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,2e704b645428,NKE,NKE260821C00044000,1,0.67,0.67,67.0,,,,-0.01,,0.5,-0.5,,,791d96a1-f41f-47a1-9b5c-9fd08a95f5ba
2026-08-04 14:03:31.088262+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,2e704b645428,NKE,NKE260821C00044000,1,0.67,0.67,67.0,,,,-0.01,,0.5,-0.5,,,791d96a1-f41f-47a1-9b5c-9fd08a95f5ba
2026-08-04 14:03:31.088262+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,2e704b645428,NKE,NKE260821C00044000,1,0.67,0.67,67.0,,,,-0.01,,0.5,-0.5,,,791d96a1-f41f-47a1-9b5c-9fd08a95f5ba
2026-08-07 13:34:27.395775+00:00,exit,419,lab0419_s365_w1_0928_1005_r2,S365,2e704b645428,NKE,NKE260821C00044000,1,,0.11,67.0,-83.58,-56.0,stop_loss (-82.5%),,-0.01,0.5,-0.5,,,9ef46d4a-9845-4190-99f5-ea284905ab5c
2026-08-13 14:02:42.417128+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,eac2479e3d34,MARA,MARA260828C00010000,1,0.51,0.5,50.0,,,,-0.01,,0.75,-0.75,0.1010101010101011,RB gap -1.6% reclaim,9be15d6e-8dec-4a2c-9a90-376a20485222
2026-08-14T13:55:02Z,reconcile,419,lab0419_s365_w1_0928_1005_r2,S365,eac2479e3d34,MARA,MARA260828C00010000,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-09-02 14:02:58.953588+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,a9fd291ef1e2,MARA,MARA260918C00010500,1,0.55,0.54,54.0,,,,-0.01,,0.75,-0.75,0.03636363636363639,RB gap -2.2% reclaim,9fcfa18a-dfa5-4aac-8bad-60dff39b5cd5
2026-09-03 13:50:26.748157+00:00,exit,419,lab0419_s365_w1_0928_1005_r2,S365,a9fd291ef1e2,MARA,MARA260918C00010500,1,,0.86,54.0,59.26,32.0,take_profit (+57.4%),,-0.01,0.5,-0.5,,,c02b786f-b11f-4e0a-8e10-3fd6340ac276
2026-09-04 13:57:34.900273+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,9ad94523b5e8,MARA,MARA260918C00012000,1,0.53,0.52,52.0,,,,-0.01,,0.75,-0.75,0.18181818181818188,RB gap -3.6% reclaim,2a7fc370-e61b-45ac-92ae-637199d4ff0e
2026-09-08 18:19:11.189114+00:00,exit,419,lab0419_s365_w1_0928_1005_r2,S365,9ad94523b5e8,MARA,MARA260918C00012000,1,,0.72,52.0,38.46,20.0,take_profit (+52.4%),,-0.01,0.5,-0.5,,,9280a9ad-d549-4ec8-86a1-8c7e8864fdbf
2026-09-15 14:03:01.265328+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,d8f01cc43efa,MARA,MARA261002C00012000,1,0.58,0.57,57.0,,,,-0.01,,0.75,-0.75,0.03448275862068969,RB gap -2.0% reclaim,5e96ded2-9388-4b64-8549-673fc82dfea9
2026-09-18 13:35:07.711551+00:00,exit,419,lab0419_s365_w1_0928_1005_r2,S365,d8f01cc43efa,MARA,MARA261002C00012000,1,,0.89,57.0,56.14,32.0,reconcile_fill,,-0.01,0.5,-0.5,,,f71a8751-00a4-43d3-a23e-ce7d12ac8ef2
2026-09-18 13:48:23.235370+00:00,entry,419,lab0419_s365_w1_0928_1005_r2,S365,233b9250a511,NFLX,NFLX261002C00077000,1,0.42,0.41,41.0,,,,-0.01,,0.75,-0.75,0.17721518987341772,RB gap -5.4% reclaim,79a3ca2d-b7ce-4514-8287-a13e77ac1d35
