bucket_id,profile,buy_rule,sell_rule,take_profit_pct,stop_loss_pct,entries,exits,win_rate_pct,avg_return_pct,med_return_pct,best_return_pct,worst_return_pct,realized_usd,symbols,strategies,exit_reasons,status
0,c000_s173_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,C,S173,,entered_no_exit
1,c001_s173_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,1,1,0.0,-66.67,-66.67,-66.67,-66.67,-36.0,C,S173,stop_loss (-66.7%),closed
2,c002_s173_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,ADBE,S173,,entered_no_exit
3,c003_s173_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,ADBE,S173,,entered_no_exit
4,c004_s174_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
5,c005_s174_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
6,c006_s174_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
7,c007_s174_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
8,c008_s165_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,2,0,,,,,,0,MSFT,S165,,entered_no_exit
9,c009_s165_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,BSX,S165,,entered_no_exit
10,c010_s165_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,BSX,S165,,entered_no_exit
11,c011_s165_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
12,c012_s166_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
13,c013_s166_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
14,c014_s166_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
15,c015_s166_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
16,c016_s163_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
17,c017_s163_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
18,c018_s163_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
19,c019_s163_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
20,c020_s173_w1_0928_1005_r2,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,C,S173,,entered_no_exit
21,c021_s173_w2_1005_1045_r2,ask-0.01,bid-0.01,50.0,-50.0,2,3,0.0,-45.66,-31.51,-31.51,-73.97,-100.0,C,S173,reconcile_fill; reconcile_fill; stop_loss (-70.6%),closed
22,c022_s173_w3_1045_1120_r2,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,ADBE,S173,,entered_no_exit
23,c023_s173_w4_1120_1135_r2,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,ADBE,S173,,entered_no_exit
24,c024_s174_w1_0928_1005_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
25,c025_s174_w2_1005_1045_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
26,c026_s174_w3_1045_1120_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
27,c027_s174_w4_1120_1135_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
28,c028_s165_w1_0928_1005_r2,ask-0.01,bid-0.01,50.0,-50.0,2,4,100.0,91.67,95.1,101.96,74.51,187.0,MSFT,S165,take_profit (+66.7%); take_profit (+94.1%); take_profit (+102.0%)…,closed
29,c029_s165_w2_1005_1045_r2,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,BSX,S165,,entered_no_exit
30,c030_s165_w3_1045_1120_r2,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,BSX,S165,,entered_no_exit
31,c031_s165_w4_1120_1135_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
32,c032_s166_w1_0928_1005_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
33,c033_s166_w2_1005_1045_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
34,c034_s166_w3_1045_1120_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
35,c035_s166_w4_1120_1135_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
36,c036_s163_w1_0928_1005_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
37,c037_s163_w2_1005_1045_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
38,c038_s163_w3_1045_1120_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
39,c039_s163_w4_1120_1135_r2,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
40,c040_s173_w1_0928_1005_r3,ask-0.01,bid-0.01,50.0,-50.0,2,0,,,,,,0,C,S173,,entered_no_exit
41,c041_s173_w2_1005_1045_r3,ask-0.01,bid-0.01,50.0,-50.0,2,1,0.0,-79.45,-79.45,-79.45,-79.45,-58.0,C,S173,stop_loss (-78.4%),closed
42,c042_s173_w3_1045_1120_r3,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,ADBE,S173,,entered_no_exit
43,c043_s173_w4_1120_1135_r3,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,ADBE,S173,,entered_no_exit
44,c044_s174_w1_0928_1005_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
45,c045_s174_w2_1005_1045_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
46,c046_s174_w3_1045_1120_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
47,c047_s174_w4_1120_1135_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
48,c048_s165_w1_0928_1005_r3,ask-0.01,bid-0.01,50.0,-50.0,2,1,100.0,84.31,84.31,84.31,84.31,43.0,MSFT,S165,reconcile_fill,closed
49,c049_s165_w2_1005_1045_r3,ask-0.01,bid-0.01,50.0,-50.0,1,1,0.0,-50.91,-50.91,-50.91,-50.91,-28.0,"GEHC,INTC",S165,stop_loss (-52.3%),closed
50,c050_s165_w3_1045_1120_r3,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,BSX,S165,,entered_no_exit
51,c051_s165_w4_1120_1135_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
52,c052_s166_w1_0928_1005_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
53,c053_s166_w2_1005_1045_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
54,c054_s166_w3_1045_1120_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
55,c055_s166_w4_1120_1135_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
56,c056_s163_w1_0928_1005_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
57,c057_s163_w2_1005_1045_r3,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
