bucket_id,profile,buy_rule,sell_rule,take_profit_pct,stop_loss_pct,entries,exits,open_lots,last_entry,stale,stale_days,win_rate_pct,avg_return_pct,med_return_pct,best_return_pct,worst_return_pct,realized_usd,symbols,strategies,exit_reasons,status
0,baseline,ask-0.01,bid-0.01,50.0,-40.0,0,0,0,2026-08-21,False,,,,,,,0,,,,idle
1,patient_buy,ask-0.05,bid-0.01,45.0,-40.0,0,0,0,2026-07-27,False,,,,,,,0,,,,idle
2,aggressive_buy,mid,bid-0.02,55.0,-45.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
3,tight_stops,ask-0.01,bid-0.01,30.0,-25.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
4,wide_stops,ask-0.02,bid-0.02,80.0,-60.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
5,eod_only,ask-0.01,bid-0.01,99.0,-99.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
6,loose_spread,ask-0.01,bid-0.01,50.0,-40.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
7,tight_spread,ask-0.01,bid-0.01,40.0,-35.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
8,g008_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
9,g009_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
10,g010_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
11,g011_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
12,g012_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
13,g013_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
14,g014_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
15,g015_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,0,0,0,2026-07-29,False,,,,,,,0,,,,idle
16,g016_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-08-10,False,,,,,,,0,,,,idle
17,g017_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-08-10,False,,,,,,,0,,,,idle
18,g018_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,0,0,0,2026-07-31,False,,,,,,,0,,,,idle
19,g019_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,0,0,0,2026-07-31,False,,,,,,,0,,,,idle
20,g020_lim_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,0,0,0,2026-08-10,False,,,,,,,0,,,,idle
21,g021_mid_tp20_sl30,mid,bid-0.05,20.0,-30.0,0,0,0,2026-08-10,False,,,,,,,0,,,,idle
22,g022_eod_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,0,0,0,2026-07-31,False,,,,,,,0,,,,idle
23,g023_lim_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,0,0,0,2026-07-31,False,,,,,,,0,,,,idle
24,g024_mid_tp20_sl30,mid,bid-0.05,20.0,-30.0,0,0,0,2026-08-11,False,,,,,,,0,,,,idle
25,g025_eod_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,0,0,0,2026-08-12,False,,,,,,,0,,,,idle
26,g026_lim_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,0,0,0,2026-08-12,False,,,,,,,0,,,,idle
27,g027_mid_tp20_sl30,mid,bid-0.05,20.0,-30.0,0,0,0,2026-08-12,False,,,,,,,0,,,,idle
