timestamp,mode,regime,equity,cash,signals,entries,exits,open_positions,tickers,universe
2026-05-22 21:48:49,summary,bull,508.51,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 21:49:46,summary,bull,508.51,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 22:00:28,summary,bull,508.53,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 22:15:24,summary,bull,508.54,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 22:30:24,summary,bull,508.68,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 22:45:24,summary,bull,508.68,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 23:00:25,summary,bull,508.68,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 23:15:25,summary,bull,508.68,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 23:30:31,summary,bull,508.68,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-22 23:45:23,summary,bull,508.87,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 13:00:29,summary,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 13:15:24,summary,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 13:35:44,exits,bull,508.76,214.71,0,0,14,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 13:50:45,scan,bull,508.76,214.71,39,9,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 14:00:30,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 14:15:26,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 14:30:39,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 14:45:29,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 15:00:38,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 15:15:26,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 15:30:25,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 15:45:27,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
2026-05-25 16:00:30,exits,bull,508.76,214.71,0,0,0,14,ABNB|AEE|AEP|AMGN|APA|APD|C|CAH|CARR|CNP|DLR|ETR|FTV|STZ,both
