strategy_id,strategy_name,category,best_variant,exp_pnl_per_signal,filled,win_rate,survives
S001,Long ATM call,directional_long,S001|OTM2|1DTE|0930-1000|3day|widen,493.7916317192325,4,0.5,False
S002,Long OTM call 5pct,directional_long,S002|OTM2|1DTE|1100-1200|3day|cancel,402.97517652433027,5,0.4,False
S003,Long deep OTM call,directional_long,S003|OTM2|1DTE|1100-1200|3day|widen,1058.9707458387716,1,1.0,False
S004,Long ITM call replacement,directional_long,S004|OTM2|1DTE|1000-1100|EOD|widen,140.2969164333281,1,1.0,False
S005,Long ATM put,directional_long,S005|OTM2|1DTE|1000-1100|1day|hold,167.40357320092977,1,1.0,False
S006,Long OTM put hedge,directional_long,S006|OTM3|3DTE|1100-1200|3day|widen,178.24760134897764,6,0.3333333333333333,False
S007,Long put crash hedge,directional_long,S007|OTM2|1DTE|0930-1000|1day|hold,135.59831890233772,3,0.3333333333333333,False
S008,Long call MA pullback,directional_long,S008|OTM2|1DTE|1000-1100|3day|hold,331.82409587458,3,0.6666666666666666,False
S009,Long call vol spike uptrend,directional_long,S009|OTM2|1DTE|1000-1100|1day|widen,377.61900587825494,2,0.5,False
S010,Long put support break,directional_long,S010|OTM2|1DTE|1100-1200|3day|hold,207.39379656017053,2,0.5,False
S011,Long call RSI oversold,directional_long,S011|OTM2|1DTE|1000-1100|3day|cancel,560.2285074836184,3,0.6666666666666666,False
S012,Long put RSI overbought,directional_long,S012|OTM2|1DTE|0930-1000|3day|cancel,426.9163844711245,3,0.6666666666666666,False
S013,Long call MACD bull cross,directional_long,S013|OTM2|1DTE|1100-1200|3day|cancel,190.48094300818224,3,0.3333333333333333,False
S014,Long put MACD bear cross,directional_long,S014|OTM2|1DTE|1100-1200|3day|hold,711.8279760180615,2,0.5,False
S015,Long call earnings drift,directional_long,S015|OTM2|1DTE|1000-1100|3day|widen,420.68413528847924,4,0.5,False
S016,Long put guidance gap,directional_long,S016|OTM2|1DTE|1100-1200|3day|cancel,1788.5847823872277,1,1.0,False
S017,Long call sector leader,directional_long,S017|OTM2|1DTE|1000-1100|3day|cancel,881.8216303803566,3,1.0,False
S018,Long put sector laggard,directional_long,S018|OTM2|1DTE|0930-1000|3day|cancel,290.87748072164175,2,0.5,False
S019,Long call 52wk high BO,directional_long,S019|OTM2|1DTE|0930-1000|3day|cancel,392.5150469291125,2,0.5,False
S020,Long put 52wk low BD,directional_long,S020|OTM2|1DTE|1000-1100|3day|widen,295.99928268618385,1,1.0,False
S021,Cash secured short put,directional_short,S021|OTM3|3DTE|1000-1100|3day|hold,48.028571428571425,6,1.0,False
S022,Covered short call,directional_short,S022|OTM2|1DTE|0930-1000|1day|widen,35.36666666666667,3,1.0,False
S023,Short OTM put high IV,directional_short,S023|OTM2|1DTE|1100-1200|1day|cancel,31.7,2,1.0,False
S024,Short OTM call covered,directional_short,S024|OTM2|1DTE|0930-1000|3day|widen,37.7,1,1.0,False
S025,Short strangle proxy,directional_short,S025|OTM2|1DTE|1000-1100|1day|widen,34.56,4,1.0,False
S026,Bull put spread income,directional_short,S026|OTM2|1DTE|1100-1200|1day|widen,35.2,2,1.0,False
S027,Bear call spread income,directional_short,S027|OTM2|1DTE|0930-1000|3day|widen,38.7,1,1.0,False
S028,Short put IV crush post event,directional_short,S028|OTM2|1DTE|0930-1000|3day|widen,41.7,1,1.0,False
S029,Short call failed BO,directional_short,S029|OTM2|1DTE|0930-1000|1day|widen,35.7,1,1.0,False
S030,Short put failed BD,directional_short,S030|OTM2|1DTE|0930-1000|EOD|widen,37.77494674219651,2,1.0,False
S031,Short premium IV>80,directional_short,S031|OTM2|1DTE|0930-1000|1day|widen,35.7,1,1.0,False
S032,Short premium term inverted,directional_short,S032|OTM2|1DTE|1000-1100|1day|hold,34.7,1,1.0,False
S033,Short put uptrend,directional_short,S033|OTM2|1DTE|1000-1100|EOD|widen,42.69755068524228,1,1.0,False
S034,Short call downtrend,directional_short,S034|OTM2|1DTE|0930-1000|1day|widen,42.7,1,1.0,False
S035,Short weekly put theta,directional_short,S035|OTM2|1DTE|1100-1200|intraday|hold,33.71274562297433,1,1.0,False
S036,Short monthly call vs stock,directional_short,S036|OTM2|1DTE|0930-1000|3day|widen,40.7,1,1.0,False
S037,Short put support,directional_short,S037|OTM2|1DTE|1100-1200|EOD|widen,39.694438678487266,1,1.0,False
S038,Short call resistance,directional_short,S038|OTM2|1DTE|0930-1000|intraday|cancel,35.47678565476627,1,1.0,False
S039,Bull call spread debit,vertical_debit,S039|OTM2|1DTE|1100-1200|3day|hold,208.52933529872266,5,0.2,False
S040,Bear put spread debit,vertical_debit,S040|OTM2|1DTE|0930-1000|3day|hold,1936.243706574181,1,1.0,False
S041,ATM bull call spread,vertical_debit,S041|OTM2|1DTE|1000-1100|3day|hold,603.9402965036167,1,1.0,False
S042,OTM bull call spread,vertical_debit,S042|OTM2|1DTE|1000-1100|3day|widen,290.694182422161,1,1.0,False
S043,ITM bull call spread,vertical_debit,S043|OTM2|1DTE|0930-1000|3day|widen,220.87162457394476,2,1.0,False
S044,Bear put gap continuation,vertical_debit,S044|OTM2|1DTE|1000-1100|3day|hold,231.77605083952773,2,0.5,False
S045,Bull call gap fade,vertical_debit,S045|OTM3|3DTE|1100-1200|3day|cancel,400.88554104513673,1,1.0,False
S046,Debit spread 1to1 RR,vertical_debit,S046|OTM2|1DTE|0930-1000|3day|widen,513.6810987353633,4,0.75,False
