strategy_id,strategy_name,category,signal,structure,side,multi_leg,strike,dte,entry_window,exit_type,fill_mode,signals,filled,fill_rate,win_rate,profit_factor,exp_pnl_per_signal,total_pnl,survives,fail_reasons,data_mode,variant_id
S173,MomReversal long call,equity_signal,mom_reversal,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,5,0.22727272727272727,0.8,20.691418605307955,4.407683478540718,96.96903652789581,False,"fill<40%,sample<50",synthetic,S173|ATM|7DTE|0930-1000|EOD|cancel
S038,Short call resistance,directional_short,resistance_retest,short_call,short,False,ATM,7,0930-1000,EOD,cancel,80,13,0.23636363636363636,0.5384615384615384,1.5436529327985529,3.712015455485843,204.16085005172144,False,"fill<40%,sample<50,not_both_periods",synthetic,S038|ATM|7DTE|0930-1000|EOD|cancel
S172,52wkLow long call 7 DTE,equity_signal,low_52w,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,5,0.17857142857142858,0.6,5.7370114557278855,3.1246459768918347,87.49008735297137,False,"fill<40%,sample<50",synthetic,S172|ATM|7DTE|0930-1000|EOD|cancel
S029,Short call failed BO,directional_short,failed_breakout,short_call,short,False,ATM,7,0930-1000,EOD,cancel,80,23,0.4107142857142857,0.43478260869565216,1.4177922953724102,3.0746549330582456,172.1806762512617,False,"sample<50,not_both_periods",synthetic,S029|ATM|7DTE|0930-1000|EOD|cancel
S136,Theta harvest short opts,volatility_greeks,iv_rank_high,short_put,short,False,ATM,7,0930-1000,EOD,cancel,80,19,0.38,0.6842105263157895,1.3978726419978407,2.8286328697863956,141.43164348931967,False,"fill<40%,sample<50",synthetic,S136|ATM|7DTE|0930-1000|EOD|cancel
S178,Regime bear puts only,equity_signal,regime_bear,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,3,0.15789473684210525,0.6666666666666666,5.551386247109943,2.7977385639412855,53.15703271488443,False,"fill<40%,sample<50",synthetic,S178|ATM|7DTE|0930-1000|EOD|cancel
S195,Last hour theta short weekly,intraday,power_hour,short_put,short,False,ATM,7,0930-1000,EOD,cancel,80,15,0.3,0.5333333333333333,1.634798300833857,2.5578559826610143,127.89279913305073,False,"fill<40%,sample<50",synthetic,S195|ATM|7DTE|0930-1000|EOD|cancel
S163,A1 GapDown ATM call EOD,equity_signal,gap_down,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,7,0.25,0.7142857142857143,5.022328149809248,2.3961702204427624,67.09276617239732,False,"fill<40%,sample<50",synthetic,S163|ATM|7DTE|0930-1000|EOD|cancel
S131,IV pct mean rev buy calls,volatility_greeks,iv_rank_low,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,5,0.29411764705882354,0.4,2.1530017472235032,2.2585861706260197,38.39596490064234,False,"fill<40%,sample<50,not_both_periods",synthetic,S131|ATM|7DTE|0930-1000|EOD|cancel
S030,Short put failed BD,directional_short,failed_breakdown,short_put,short,False,ATM,7,0930-1000,EOD,cancel,80,18,0.33962264150943394,0.5555555555555556,1.3732631063584324,2.0895658275527373,110.74698886029505,False,"fill<40%,sample<50",synthetic,S030|ATM|7DTE|0930-1000|EOD|cancel
S186,ORB breakdown put 15m,intraday,orb_breakdown,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,6,0.3333333333333333,0.3333333333333333,1.6740665027214292,2.0757292983858306,37.363127370944945,False,"fill<40%,sample<50,not_both_periods",synthetic,S186|ATM|7DTE|0930-1000|EOD|cancel
S209,Dark pool print call,flow_sentiment,dark_pool,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,2,0.13333333333333333,1.0,999.0,1.9787274724633945,29.68091208695092,False,"fill<40%,sample<50",synthetic,S209|ATM|7DTE|0930-1000|EOD|cancel
S160,January effect call skew,event_seasonality,seasonal_jan,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,2,0.1,1.0,999.0,1.6674943249327823,33.34988649865564,False,"fill<40%,sample<50,not_both_periods",synthetic,S160|ATM|7DTE|0930-1000|EOD|cancel
S147,Beta delta hedge SPY,volatility_greeks,neutral,long_single,long,False,ATM,7,0930-1000,EOD,cancel,80,3,0.13636363636363635,0.6666666666666666,10.35377833854114,1.6394305508023794,36.06747211765235,False,"fill<40%,sample<50",synthetic,S147|ATM|7DTE|0930-1000|EOD|cancel
