strategy_id,strategy_name,category,best_variant,exp_pnl_per_signal,filled,win_rate,survives
S001,Long ATM call,directional_long,S001|ATM|7DTE|0930-1000|EOD|cancel,-1.6559242362656847,3,0.3333333333333333,False
S002,Long OTM call 5pct,directional_long,S002|ATM|7DTE|0930-1000|EOD|cancel,0.26131668735989966,8,0.5,False
S003,Long deep OTM call,directional_long,S003|ATM|7DTE|0930-1000|EOD|cancel,-0.2657772096384067,3,0.3333333333333333,False
S004,Long ITM call replacement,directional_long,S004|ATM|7DTE|0930-1000|EOD|cancel,-1.7925558798499075,7,0.42857142857142855,False
S005,Long ATM put,directional_long,S005|ATM|7DTE|0930-1000|EOD|cancel,-2.524294360750459,2,0.0,False
S006,Long OTM put hedge,directional_long,S006|ATM|7DTE|0930-1000|EOD|cancel,-1.5585807789013268,6,0.3333333333333333,False
S007,Long put crash hedge,directional_long,S007|ATM|7DTE|0930-1000|EOD|cancel,-1.1363776914381691,3,0.3333333333333333,False
S008,Long call MA pullback,directional_long,S008|ATM|7DTE|0930-1000|EOD|cancel,0.9912246169623568,5,0.4,False
S009,Long call vol spike uptrend,directional_long,S009|ATM|7DTE|0930-1000|EOD|cancel,-3.513610778121277,6,0.16666666666666666,False
S010,Long put support break,directional_long,S010|ATM|7DTE|0930-1000|EOD|cancel,-0.18386366291992695,2,0.5,False
S011,Long call RSI oversold,directional_long,S011|ATM|7DTE|0930-1000|EOD|cancel,0.24553723496527366,7,0.2857142857142857,False
S012,Long put RSI overbought,directional_long,S012|ATM|7DTE|0930-1000|EOD|cancel,-2.7814618794041905,4,0.25,False
S013,Long call MACD bull cross,directional_long,S013|ATM|7DTE|0930-1000|EOD|cancel,-2.679563495521542,5,0.0,False
S014,Long put MACD bear cross,directional_long,S014|ATM|7DTE|0930-1000|EOD|cancel,0.3974537256967636,6,0.5,False
S015,Long call earnings drift,directional_long,S015|ATM|7DTE|0930-1000|EOD|cancel,-2.167626280066051,9,0.3333333333333333,False
S016,Long put guidance gap,directional_long,S016|ATM|7DTE|0930-1000|EOD|cancel,-1.196001424022362,2,0.0,False
S017,Long call sector leader,directional_long,S017|ATM|7DTE|0930-1000|EOD|cancel,-2.9906869552926674,5,0.2,False
