strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error
S001,Long ATM call,directional_long,A,momentum,3744.0,325.0,0.0922247446083995,0.5107692307692308,1.859272099959557,6552.074880257477,1.84786559387457,
S002,Long OTM call 5pct,directional_long,A,momentum,3744.0,228.0,0.0813124108416547,0.4736842105263157,1.589132050141706,4455.926268597344,2.024303494301517,
S003,Long deep OTM call,directional_long,A,momentum,3744.0,36.0,0.0456273764258555,0.5555555555555556,0.8311056987759515,655.7423963342256,3.3529426121939787,
S004,Long ITM call replacement,directional_long,A,momentum,3744.0,425.0,0.1140939597315436,0.508235294117647,1.835549717826828,6837.422698904932,1.551179039299316,
S005,Long ATM put,directional_long,A,breakdown,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,
S006,Long OTM put hedge,directional_long,A,breakdown,2931.0,232.0,0.131370328425821,0.4827586206896552,2.530472894757612,4468.815132141945,2.140728344197773,
S007,Long put crash hedge,directional_long,A,breakdown,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,
S008,Long call MA pullback,directional_long,A,pullback_ma,1153.0,138.0,0.1244364292155094,0.427536231884058,-0.8100475020499943,-898.3426797734427,0.790564160581138,
S009,Long call vol spike uptrend,directional_long,A,volume_spike,190.0,53.0,0.297752808988764,0.4150943396226415,3.6848297122592633,655.8996887821487,1.4101876970691043,
S010,Long put support break,directional_long,A,breakdown,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,
S011,Long call RSI oversold,directional_long,A,rsi_oversold,683.0,127.0,0.2113144758735441,0.3700787401574803,-3.935486769534715,-2365.2275484903644,0.5360970686667254,
S012,Long put RSI overbought,directional_long,A,rsi_overbought,1146.0,166.0,0.1548507462686567,0.2469879518072289,-3.920636399839758,-4202.92222062822,0.3635571054855174,
S013,Long call MACD bull cross,directional_long,A,macd_bull,3744.0,325.0,0.0922247446083995,0.5107692307692308,1.859272099959557,6552.074880257477,1.84786559387457,
S014,Long put MACD bear cross,directional_long,A,macd_bear,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,
S015,Long call earnings drift,directional_long,A,earnings_positive,772.0,0.0,0.0,0.0,0.0,0.0,inf,
S016,Long put guidance gap,directional_long,A,earnings_negative,104.0,0.0,0.0,0.0,0.0,0.0,inf,
S017,Long call sector leader,directional_long,A,sector_leader,317.0,51.0,0.1711409395973154,0.9019607843137256,21.39166031439193,6374.714773688796,318.91148143611167,
S018,Long put sector laggard,directional_long,A,sector_laggard,327.0,55.0,0.1833333333333333,0.7818181818181819,18.29187295167296,5487.561885501888,54.10796721037166,
S019,Long call 52wk high BO,directional_long,A,high_52w_break,249.0,5.0,0.0200803212851405,1.0,1.4263262884970795,355.1552458357728,inf,
S020,Long put 52wk low BD,directional_long,A,low_52w_break,26.0,0.0,0.0,0.0,0.0,0.0,inf,
S021,Cash secured short put,directional_short,A,support_retest,3744.0,193.0,0.0751557632398753,0.6476683937823834,0.5881589864447491,1510.392277190116,1.4753417163682143,
S022,Covered short call,directional_short,A,resistance_retest,2931.0,242.0,0.1253886010362694,0.6198347107438017,0.6004693421806971,1158.905830408745,1.2258071348337545,
S023,Short OTM put high IV,directional_short,A,iv_rank_high,647.0,91.0,0.2146226415094339,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133,
S024,Short OTM call covered,directional_short,A,iv_rank_high,647.0,84.0,0.1798715203426124,0.5119047619047619,-9.493103355448705,-4433.279266994546,0.3110404316910786,
S028,Short put IV crush post event,directional_short,A,post_event_iv,241.0,104.0,0.912280701754386,0.4230769230769231,-23.91910567409668,-2726.7780468470214,0.3606847718902721,
S029,Short call failed BO,directional_short,A,failed_breakout,105.0,67.0,0.9054054054054054,0.9850746268656716,33.29993838509506,2464.1954404970347,278062.3744677587,
S030,Short put failed BD,directional_short,A,failed_breakdown,113.0,43.0,0.8958333333333334,1.0,32.04756357138784,1538.2830514266166,inf,
S031,Short premium IV>80,directional_short,A,iv_rank_high,647.0,91.0,0.2146226415094339,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133,
S032,Short premium term inverted,directional_short,A,term_inverted,1166.0,135.0,0.1809651474530831,0.4444444444444444,-6.035685744197216,-4502.621565171124,0.3371313157593343,
S033,Short put uptrend,directional_short,A,uptrend,3744.0,193.0,0.0751557632398753,0.6476683937823834,0.5881589864447491,1510.392277190116,1.4753417163682143,
S034,Short call downtrend,directional_short,A,downtrend,2931.0,242.0,0.1253886010362694,0.6198347107438017,0.6004693421806971,1158.905830408745,1.2258071348337545,
S035,Short weekly put theta,directional_short,A,uptrend,3744.0,193.0,0.0751557632398753,0.6476683937823834,0.5881589864447491,1510.392277190116,1.4753417163682143,
S036,Short monthly call vs stock,directional_short,A,neutral,3699.0,132.0,0.0357723577235772,0.5378787878787878,-0.0158426893016661,-58.45952352314789,0.98443885813793,
S037,Short put support,directional_short,A,support_retest,3744.0,193.0,0.0751557632398753,0.6476683937823834,0.5881589864447491,1510.392277190116,1.4753417163682143,
S038,Short call resistance,directional_short,A,resistance_retest,2931.0,242.0,0.1253886010362694,0.6198347107438017,0.6004693421806971,1158.905830408745,1.2258071348337545,
S130,Short vol IV rank>80,volatility_greeks,A,iv_rank_high,647.0,91.0,0.2146226415094339,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133,
S131,IV pct mean rev buy calls,volatility_greeks,A,iv_rank_low,2273.0,235.0,0.1109013685700802,0.3957446808510638,-0.6650115560100892,-1409.1594871853788,0.7868373707150256,
S136,Theta harvest short opts,volatility_greeks,A,iv_rank_high,647.0,91.0,0.2146226415094339,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133,
S137,Charm decay into expiry,volatility_greeks,A,neutral,3699.0,0.0,0.0,0.0,0.0,0.0,inf,
S144,IV>RV short vol,volatility_greeks,A,iv_vs_hv_high,647.0,91.0,0.2146226415094339,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133,
S145,VIX call hedge,volatility_greeks,A,crash_hedge,104.0,55.0,1.0,0.3454545454545454,29.86972832699165,1642.835057984541,2.492280446907761,
S147,Beta delta hedge SPY,volatility_greeks,A,neutral,3699.0,123.0,0.034923339011925,0.3983739837398374,-0.1774899336459036,-625.119546300872,0.8780501559959302,
S148,Vol surface smile trade,volatility_greeks,A,skew_steep,450.0,124.0,0.4644194756554307,0.3870967741935484,7.015001047693697,1873.0052797342173,1.691777987722593,
S158,CPI jobs ORB options,event_seasonality,A,macro_orb,769.0,134.0,0.4962962962962963,0.3880597014925373,19.100865110044115,5157.233579711912,2.187488597055636,
S163,A1 GapDown ATM call EOD,equity_signal,A,gap_down,241.0,184.0,0.8975609756097561,0.4347826086956521,11.09450804374719,2274.3741489681734,1.505381643060751,
S165,GapDown long call 3 DTE,equity_signal,A,gap_down,241.0,150.0,0.974025974025974,0.3933333333333333,19.27342580409352,2968.107573830401,1.7993942359299857,
S166,GapDown strong call,equity_signal,A,gap_down_strong,104.0,85.0,0.9659090909090908,0.4235294117647059,21.699380263437664,1909.5454631825148,2.029394504831032,
S167,GapDown weak skip/half,equity_signal,A,gap_down_weak,509.0,252.0,0.5675675675675675,0.4166666666666667,-0.0917592275899355,-40.74109704993174,0.9949248835237496,
S168,GapUp long put EOD,equity_signal,A,gap_up,209.0,162.0,0.8950276243093923,0.4567901234567901,25.59728583655657,4633.10873641674,2.246110177472942,
S169,VolumeSpike long call EOD,equity_signal,A,volume_spike,190.0,53.0,0.297752808988764,0.4150943396226415,3.6848297122592633,655.8996887821487,1.4101876970691043,
S170,Pullback50 long call 3 DTE,equity_signal,A,pullback50,2724.0,229.0,0.1072599531615925,0.7510917030567685,6.97588932578099,14893.523710542411,23.044296390656307,
S172,52wkLow long call 7 DTE,equity_signal,A,low_52w,91.0,22.0,0.3333333333333333,0.0909090909090909,-23.945055435738823,-1580.3736587587628,0.0539351792844194,
S173,MomReversal long call,equity_signal,A,mom_reversal,193.0,61.0,1.0,0.8524590163934426,151.54317343790018,9244.133579711912,37.09928640597293,
S174,RubberBand long call EOD,equity_signal,A,rubber_band,190.0,133.0,0.8209876543209876,0.7894736842105263,56.53438089166083,9158.569704449052,12.83153967890194,
S175,RSIRecovery long call 3 DTE,equity_signal,A,rsi_recovery,461.0,202.0,0.6196319018404908,0.3217821782178218,-2.83227766285522,-923.3225180908014,0.8741015247880659,
S176,Seasonal calendar match DTE,equity_signal,A,seasonal,6693.0,819.0,0.1312920807951266,0.4078144078144078,-0.2238261103000635,-1396.2272760517928,0.9484828558531334,
S177,Regime bull calls only,equity_signal,A,regime_bull,3744.0,325.0,0.0922247446083995,0.5107692307692308,1.859272099959557,6552.074880257477,1.84786559387457,
S178,Regime bear puts only,equity_signal,A,regime_bear,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,
S179,Regime corr reduced size,equity_signal,A,regime_corr,210.0,85.0,0.4644808743169399,0.4235294117647059,10.434674662199532,1909.5454631825148,2.029394504831032,
S180,Signal IV rank filter,equity_signal,A,gap_down,241.0,184.0,0.8975609756097561,0.4347826086956521,11.09450804374719,2274.3741489681734,1.505381643060751,
S181,Signal low spread filter,equity_signal,A,gap_down,241.0,184.0,0.8975609756097561,0.4347826086956521,11.09450804374719,2274.3741489681734,1.505381643060751,
S182,Signal OI filter,equity_signal,A,gap_down,241.0,184.0,0.8975609756097561,0.4347826086956521,11.09450804374719,2274.3741489681734,1.505381643060751,
S183,GapDown VolumeSpike confirm,equity_signal,A,gap_down_vol,40.0,36.0,0.972972972972973,0.4166666666666667,20.812653779364776,770.0681898364965,1.8573189912251744,
S184,Fade low vol gap long put,equity_signal,A,gap_up_low_vol,80.0,56.0,0.8235294117647058,0.5178571428571429,27.82171459444648,1891.87659242236,3.2584464261873776,
S185,ORB breakout call 15m,intraday,A,orb_breakout,2001.0,250.0,0.1385041551246537,1.0,13.715046256884726,24755.65849367693,inf,
S186,ORB breakdown put 15m,intraday,A,orb_breakdown,1787.0,236.0,0.1471321695760598,1.0,15.129105915147631,24267.085887896803,inf,
S187,First hour gap fade call,intraday,A,gap_down,241.0,184.0,0.8975609756097561,0.4347826086956521,11.09450804374719,2274.3741489681734,1.505381643060751,
S188,VWAP reclaim long call,intraday,A,vwap_reclaim,1682.0,393.0,0.2528957528957529,0.8498727735368957,16.223267496127274,25210.95768898178,51.93101492465591,
S189,VWAP rejection long put,intraday,A,vwap_reject,1606.0,423.0,0.2827540106951872,0.75177304964539,16.362617751926155,24478.476156881523,31.106663544346485,
S190,Midday consolidation BO,intraday,A,midday_breakout,2471.0,296.0,0.1308576480990274,0.9932432432432432,11.245986982577993,25438.42255459142,8451.967005555922,
S191,Power hour momentum call,intraday,A,power_hour,1413.0,436.0,0.3521809369951534,0.4243119266055046,1.8042270209355729,2233.6330519182416,1.1782922920390455,
S192,Power hour fade put,intraday,A,power_hour_fade,105.0,84.0,0.9130434782608696,0.8809523809523809,89.95726200159255,8276.068104146516,111.20403459205168,
S193,10AM reversal call,intraday,A,ten_am_reversal,358.0,209.0,0.6741935483870968,0.8851674641148325,47.07749554380933,14594.023618580894,88.10887351715148,
S194,Lunch lull vol sell,intraday,A,lunch_lull,1419.0,69.0,0.0753275109170305,0.5797101449275363,0.0455302066161477,41.70566926039142,1.041739975602444,
S195,Last hour theta short weekly,intraday,A,power_hour,1413.0,0.0,0.0,0.0,0.0,0.0,inf,
S196,Tick imbalance proxy,intraday,A,tape_imbalance,509.0,99.0,0.2066805845511482,0.3535353535353535,1.4134859261881565,677.0597586441272,1.1775775041460257,
S197,Bid-ask imbalance open,intraday,A,open_imbalance,769.0,278.0,0.4199395770392749,0.4316546762589928,4.754865699978927,3147.7210933860524,1.434882131786168,
S198,Large opening print follow,intraday,A,open_print,108.0,49.0,0.4803921568627451,0.4285714285714285,7.773972722480554,792.9452176930164,1.5677793723686106,
