strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error,avg_return_pct,med_return_pct,exp_return_pct_per_signal
S001,Long ATM call,directional_long,A,momentum,3744.0,325.0,0.0922247446083995,0.5107692307692308,1.859272099959557,6552.074880257477,1.84786559387457,,0.1862369602785006,0.0139940488944214,0.0171756560983293
S002,Long OTM call 5pct,directional_long,A,momentum,3744.0,228.0,0.0813124108416547,0.4736842105263157,1.589132050141706,4455.926268597344,2.024303494301517,,0.2842657953034915,-0.0329076384915116,0.0231143371359472
S003,Long deep OTM call,directional_long,A,momentum,3744.0,36.0,0.0456273764258555,0.5555555555555556,0.8311056987759515,655.7423963342256,3.3529426121939787,,0.6402247260968383,0.2060960888042317,0.0292117745747606
S004,Long ITM call replacement,directional_long,A,momentum,3744.0,425.0,0.1140939597315436,0.508235294117647,1.835549717826828,6837.422698904932,1.551179039299316,,0.1025490951972441,0.0072958876616609,0.0117002323379406
S005,Long ATM put,directional_long,A,breakdown,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,,0.2021610284594448,-0.0037561241742399,0.0253180794655092
S006,Long OTM put hedge,directional_long,A,breakdown,2931.0,232.0,0.131370328425821,0.4827586206896552,2.530472894757612,4468.815132141945,2.140728344197773,,0.2600761303115437,-0.0129189987169244,0.0341662866547441
S007,Long put crash hedge,directional_long,A,breakdown,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,,0.2021610284594448,-0.0037561241742399,0.0253180794655092
S008,Long call MA pullback,directional_long,A,pullback_ma,1153.0,138.0,0.1244364292155094,0.427536231884058,-0.8100475020499943,-898.3426797734427,0.790564160581138,,-0.0323870714134907,-0.1213731253723457,-0.0040301315194424
S009,Long call vol spike uptrend,directional_long,A,volume_spike,190.0,53.0,0.297752808988764,0.4150943396226415,3.6848297122592633,655.8996887821487,1.4101876970691043,,0.0528145973859313,-0.2218019502448557,0.0157256947272717
S010,Long put support break,directional_long,A,breakdown,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,,0.2021610284594448,-0.0037561241742399,0.0253180794655092
S011,Long call RSI oversold,directional_long,A,rsi_oversold,683.0,127.0,0.2113144758735441,0.3700787401574803,-3.935486769534715,-2365.2275484903644,0.5360970686667254,,-0.0863464987788931,-0.1871872534088975,-0.0182462651329774
S012,Long put RSI overbought,directional_long,A,rsi_overbought,1146.0,166.0,0.1548507462686567,0.2469879518072289,-3.920636399839758,-4202.92222062822,0.3635571054855174,,-0.1635265849698307,-0.2225448215368549,-0.0253222137173431
S013,Long call MACD bull cross,directional_long,A,macd_bull,3744.0,325.0,0.0922247446083995,0.5107692307692308,1.859272099959557,6552.074880257477,1.84786559387457,,0.1862369602785006,0.0139940488944214,0.0171756560983293
S014,Long put MACD bear cross,directional_long,A,macd_bear,2931.0,330.0,0.1252371916508539,0.4969696969696969,2.856660912639445,7527.301504804943,2.0988864692118856,,0.2021610284594448,-0.0037561241742399,0.0253180794655092
S015,Long call earnings drift,directional_long,A,earnings_positive,772.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S016,Long put guidance gap,directional_long,A,earnings_negative,104.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S017,Long call sector leader,directional_long,A,sector_leader,317.0,51.0,0.1711409395973154,0.9019607843137256,21.39166031439193,6374.714773688796,318.91148143611167,,1.1743758073487944,0.8655103988318139,0.2009837791100285
S018,Long put sector laggard,directional_long,A,sector_laggard,327.0,55.0,0.1833333333333333,0.7818181818181819,18.29187295167296,5487.561885501888,54.10796721037166,,0.6899612844735836,0.554928914019536,0.1264929021534903
S019,Long call 52wk high BO,directional_long,A,high_52w_break,249.0,5.0,0.0200803212851405,1.0,1.4263262884970795,355.1552458357728,inf,,0.2943185052614471,0.2205589220026456,0.0059100101458121
S020,Long put 52wk low BD,directional_long,A,low_52w_break,26.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S021,Cash secured short put,directional_short,A,support_retest,3744.0,193.0,0.0751557632398753,0.6476683937823834,0.5881589864447491,1510.392277190116,1.4753417163682143,,0.0635540711361504,0.1907801697367657,0.0047764547232387
S022,Covered short call,directional_short,A,resistance_retest,2931.0,242.0,0.1253886010362694,0.6198347107438017,0.6004693421806971,1158.905830408745,1.2258071348337545,,-0.0489166329923119,0.2091652132473069,-0.0061335881783106
S023,Short OTM put high IV,directional_short,A,iv_rank_high,647.0,91.0,0.2146226415094339,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133,,-0.7813742253612523,-0.2165459089786783,-0.1677006002544197
S024,Short OTM call covered,directional_short,A,iv_rank_high,647.0,84.0,0.1798715203426124,0.5119047619047619,-9.493103355448705,-4433.279266994546,0.3110404316910786,,-1.062404094605328,0.0314805962973788,-0.191096239714877
S028,Short put IV crush post event,directional_short,A,post_event_iv,241.0,104.0,0.912280701754386,0.4230769230769231,-23.91910567409668,-2726.7780468470214,0.3606847718902721,,-0.7050117812187187,-0.1470739470552088,-0.6431686425153222
S029,Short call failed BO,directional_short,A,failed_breakout,105.0,67.0,0.9054054054054054,0.9850746268656716,33.29993838509506,2464.1954404970347,278062.3744677587,,0.5677908843571389,0.6310075661857572,0.514080935836869
S030,Short put failed BD,directional_short,A,failed_breakdown,113.0,43.0,0.8958333333333334,1.0,32.04756357138784,1538.2830514266166,inf,,0.571200841882736,0.5647573465288849,0.5117007541866176
S031,Short premium IV>80,directional_short,A,iv_rank_high,647.0,91.0,0.2146226415094339,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133,,-0.7813742253612523,-0.2165459089786783,-0.1677006002544197
S032,Short premium term inverted,directional_short,A,term_inverted,1166.0,135.0,0.1809651474530831,0.4444444444444444,-6.035685744197216,-4502.621565171124,0.3371313157593343,,-0.5699517544690121,-0.1109053831668482,-0.1031414032886282
S033,Short put uptrend,directional_short,A,uptrend,3744.0,193.0,0.0751557632398753,0.6476683937823834,0.5881589864447491,1510.392277190116,1.4753417163682143,,0.0635540711361504,0.1907801697367657,0.0047764547232387
S034,Short call downtrend,directional_short,A,downtrend,2931.0,242.0,0.1253886010362694,0.6198347107438017,0.6004693421806971,1158.905830408745,1.2258071348337545,,-0.0489166329923119,0.2091652132473069,-0.0061335881783106
S035,Short weekly put theta,directional_short,A,uptrend,3744.0,193.0,0.0751557632398753,0.6476683937823834,0.5881589864447491,1510.392277190116,1.4753417163682143,,0.0635540711361504,0.1907801697367657,0.0047764547232387
