ticker,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_dollar,hold_days,exit_reason,entry_scan_window,seasonal
APA,MomReversal,2023-11-16,2023-11-17,32.3919,32.8437,1.395,1.1,1,max_hold 945d (+1.4%),evening,True
CSCO,GapDown,2023-11-16,2023-11-17,44.8714,44.8807,0.021,0.02,1,max_hold 945d (+0.0%),evening,False
APO,Pullback50,2023-11-16,2023-11-17,83.255,83.3707,0.139,0.11,1,max_hold 945d (+0.1%),evening,False
CARR,Pullback50,2023-11-16,2023-11-17,50.9573,51.2475,0.569,0.45,1,max_hold 945d (+0.6%),evening,False
AEE,VolumeSpike,2023-11-16,2023-11-17,70.5485,70.8977,0.495,0.39,1,max_hold 945d (+0.5%),evening,False
APA,MomReversal,2023-11-17,2023-11-17,32.8437,33.3136,1.431,1.14,0,max_hold 944d (+1.4%),morning,True
CSCO,GapDown,2023-11-17,2023-11-17,44.8807,44.6098,-1.04,-0.83,0,stop_loss (-0.6%),morning,False
APO,Pullback50,2023-11-17,2023-11-17,83.3707,83.679,0.37,0.29,0,max_hold 944d (+0.4%),morning,False
CARR,Pullback50,2023-11-17,2023-11-17,51.2475,51.4796,0.453,0.36,0,max_hold 944d (+0.5%),morning,False
AEE,VolumeSpike,2023-11-17,2023-11-17,70.8977,70.8609,-0.052,-0.04,0,max_hold 944d (-0.1%),morning,False
APA,MomReversal,2023-11-17,2023-11-20,33.3136,33.7563,1.329,0.64,1,max_hold 944d (+1.3%),evening,True
AMAT,GapDown,2023-11-17,2023-11-20,145.3024,145.586,0.195,0.09,1,max_hold 944d (+0.2%),evening,False
ABNB,Pullback50,2023-11-17,2023-11-20,127.15,127.4,0.197,0.09,1,max_hold 944d (+0.2%),evening,False
APO,Pullback50,2023-11-17,2023-11-20,83.679,83.679,-0.0,-0.0,1,max_hold 944d (-0.0%),evening,False
BG,Pullback50,2023-11-17,2023-11-20,99.1161,99.7008,0.59,0.28,1,max_hold 944d (+0.6%),evening,False
APA,MomReversal,2023-11-20,2023-11-20,33.7563,33.431,-1.14,-0.55,0,stop_loss (-1.0%),morning,True
AMAT,GapDown,2023-11-20,2023-11-20,145.586,149.1943,2.479,1.19,0,max_hold 941d (+2.5%),morning,False
ABNB,Pullback50,2023-11-20,2023-11-20,127.4,129.7,1.805,0.86,0,max_hold 941d (+1.8%),morning,False
APO,Pullback50,2023-11-20,2023-11-20,83.679,85.1051,1.704,0.82,0,max_hold 941d (+1.7%),morning,False
BG,Pullback50,2023-11-20,2023-11-20,99.7008,99.9514,0.251,0.12,0,max_hold 941d (+0.3%),morning,False
BDX,MomReversal,2023-11-20,2023-11-21,173.7507,175.1263,0.792,0.8,1,max_hold 941d (+0.8%),evening,True
BMY,GapDown,2023-11-20,2023-11-21,43.3772,43.3151,-0.143,-0.15,1,max_hold 941d (-0.1%),evening,False
AMGN,Pullback50,2023-11-20,2023-11-21,245.8745,245.8652,-0.004,-0.0,1,max_hold 941d (-0.0%),evening,False
APP,Pullback50,2023-11-20,2023-11-21,39.5,39.02,-1.215,-1.23,1,stop_loss (-1.2%),evening,False
BDX,MomReversal,2023-11-21,2023-11-21,175.1263,175.6021,0.272,0.27,0,max_hold 940d (+0.3%),morning,True
BMY,GapDown,2023-11-21,2023-11-21,43.3151,43.0046,-0.96,-0.97,0,stop_loss (-0.7%),morning,False
AMGN,Pullback50,2023-11-21,2023-11-21,245.8652,243.5302,-5.04,-5.08,0,stop_loss (-0.9%),morning,False
APP,Pullback50,2023-11-21,2023-11-21,39.02,38.77,-4.96,-5.0,0,stop_loss (-0.6%),morning,False
BBY,GapDown,2023-11-21,2023-11-22,59.0455,59.3686,0.547,0.55,1,max_hold 940d (+0.5%),evening,False
AVGO,VolumeSpike,2023-11-21,2023-11-22,95.3098,95.5517,0.254,0.26,1,max_hold 940d (+0.3%),evening,False
BBY,GapDown,2023-11-22,2023-11-22,59.3686,59.4035,0.059,0.06,0,max_hold 939d (+0.1%),morning,False
AVGO,VolumeSpike,2023-11-22,2023-11-22,95.5517,94.4162,-1.57,-1.55,0,stop_loss (-1.2%),morning,False
APA,GapDown,2023-11-22,2023-11-24,33.0335,32.9521,-0.246,-0.23,1,max_hold 939d (-0.2%),evening,False
ADSK,GapDown,2023-11-22,2023-11-24,202.66,202.66,0.0,0.0,1,max_hold 939d (+0.0%),evening,False
CAT,GapDown,2023-11-22,2023-11-24,237.5157,238.2301,0.301,0.28,1,max_hold 939d (+0.3%),evening,False
AON,Pullback50,2023-11-22,2023-11-24,323.4286,324.2348,0.249,0.23,1,max_hold 939d (+0.2%),evening,False
APA,GapDown,2023-11-24,2023-11-24,32.9521,33.3226,1.124,1.06,0,max_hold 937d (+1.1%),morning,False
ADSK,GapDown,2023-11-24,2023-11-24,202.66,203.42,0.375,0.35,0,max_hold 937d (+0.4%),morning,False
CAT,GapDown,2023-11-24,2023-11-24,238.2301,238.819,0.247,0.23,0,max_hold 937d (+0.2%),morning,False
AON,Pullback50,2023-11-24,2023-11-24,324.2348,324.4511,0.067,0.06,0,max_hold 937d (+0.1%),morning,False
AMGN,Pullback50,2023-11-24,2023-11-27,245.9764,245.9486,-0.011,-0.01,1,max_hold 937d (-0.0%),evening,False
APP,Pullback50,2023-11-24,2023-11-27,39.49,39.25,-0.88,-0.87,1,stop_loss (-0.6%),evening,False
AMGN,Pullback50,2023-11-27,2023-11-27,245.9486,244.8738,-0.437,-0.43,0,max_hold 934d (-0.4%),morning,False
APP,Pullback50,2023-11-27,2023-11-27,39.25,39.39,0.357,0.35,0,max_hold 934d (+0.4%),morning,False
APP,Pullback50,2023-11-27,2023-11-28,39.39,39.43,0.102,0.1,1,max_hold 934d (+0.1%),evening,False
APP,Pullback50,2023-11-28,2023-11-28,39.43,38.4,-2.612,-2.58,0,stop_loss (-2.6%),morning,False
ADSK,Pullback50,2023-11-28,2023-11-29,207.37,210.03,1.283,1.26,1,max_hold 933d (+1.3%),evening,False
ADSK,Pullback50,2023-11-29,2023-11-29,210.03,213.85,1.819,1.8,0,max_hold 932d (+1.8%),morning,False
BDX,MomReversal,2023-11-29,2023-11-30,175.2527,175.6914,0.25,0.25,1,max_hold 932d (+0.3%),evening,True
AMGN,Pullback50,2023-11-29,2023-11-30,247.0328,248.0612,0.416,0.41,1,max_hold 932d (+0.4%),evening,False
APP,Pullback50,2023-11-29,2023-11-30,39.03,38.93,-0.256,-0.25,1,max_hold 932d (-0.3%),evening,False
BIIB,RSIRecovery,2023-11-29,2023-11-30,232.06,232.68,0.267,0.27,1,max_hold 932d (+0.3%),evening,False
BDX,MomReversal,2023-11-30,2023-11-30,175.6914,175.617,-0.042,-0.04,0,max_hold 931d (-0.0%),morning,True
AMGN,Pullback50,2023-11-30,2023-11-30,248.0612,249.8496,0.721,0.71,0,max_hold 931d (+0.7%),morning,False
APP,Pullback50,2023-11-30,2023-11-30,38.93,37.48,-3.725,-3.68,0,stop_loss (-3.7%),morning,False
BIIB,RSIRecovery,2023-11-30,2023-11-30,232.68,234.08,0.602,0.59,0,max_hold 931d (+0.6%),morning,False
CSCO,MomReversal,2023-11-30,2023-12-01,45.189,45.0956,-0.207,-0.04,1,max_hold 931d (-0.2%),evening,True
APO,GapDown,2023-11-30,2023-12-01,88.6512,88.2946,-0.402,-0.08,1,max_hold 931d (-0.4%),evening,False
AMGN,Pullback50,2023-11-30,2023-12-01,249.8496,250.1462,0.119,0.02,1,max_hold 931d (+0.1%),evening,False
ACGL,Pullback50,2023-11-30,2023-12-01,79.5807,79.5902,0.012,0.0,1,max_hold 931d (+0.0%),evening,False
CASY,Pullback50,2023-11-30,2023-12-01,272.2376,272.9592,0.265,0.05,1,max_hold 931d (+0.3%),evening,False
