ticker,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_dollar,hold_days,exit_reason,entry_scan_window,seasonal
APA,MomReversal,2023-11-16,2023-11-17,32.3919,32.8437,1.395,1.1,1,max_hold 945d (+1.4%),evening,True
CSCO,GapDown,2023-11-16,2023-11-17,44.8714,44.8807,0.021,0.02,1,max_hold 945d (+0.0%),evening,False
APO,Pullback50,2023-11-16,2023-11-17,83.255,83.3706,0.139,0.11,1,max_hold 945d (+0.1%),evening,False
CARR,Pullback50,2023-11-16,2023-11-17,50.9573,51.2475,0.569,0.45,1,max_hold 945d (+0.6%),evening,False
AEE,VolumeSpike,2023-11-16,2023-11-17,70.5485,70.8977,0.495,0.39,1,max_hold 945d (+0.5%),evening,False
APA,MomReversal,2023-11-17,2023-11-20,33.3136,33.7563,1.329,0.7,1,max_hold 944d (+1.3%),evening,True
AMAT,GapDown,2023-11-17,2023-11-20,145.3024,145.586,0.195,0.1,1,max_hold 944d (+0.2%),evening,False
APO,Pullback50,2023-11-17,2023-11-20,83.679,83.679,0.0,0.0,1,max_hold 944d (+0.0%),evening,False
BG,Pullback50,2023-11-17,2023-11-20,99.1161,99.7008,0.59,0.31,1,max_hold 944d (+0.6%),evening,False
MMM,VolumeSpike,2023-11-17,2023-11-20,74.8924,74.641,-0.336,-0.18,1,max_hold 944d (-0.3%),evening,False
BDX,MomReversal,2023-11-20,2023-11-21,173.7507,175.1262,0.792,0.8,1,max_hold 941d (+0.8%),evening,True
BMY,GapDown,2023-11-20,2023-11-21,43.3772,43.3151,-0.143,-0.14,1,max_hold 941d (-0.1%),evening,False
AMGN,Pullback50,2023-11-20,2023-11-21,245.8745,245.8652,-0.004,-0.0,1,max_hold 941d (-0.0%),evening,False
APP,Pullback50,2023-11-20,2023-11-21,39.5,39.02,-1.215,-1.23,1,stop_loss (-1.2%),evening,False
BBY,GapDown,2023-11-21,2023-11-22,59.0455,59.3686,0.547,0.55,1,max_hold 940d (+0.5%),evening,False
AVGO,VolumeSpike,2023-11-21,2023-11-22,95.3098,95.5517,0.254,0.25,1,max_hold 940d (+0.3%),evening,False
APA,GapDown,2023-11-22,2023-11-24,33.0335,32.9522,-0.246,-0.25,1,max_hold 939d (-0.2%),evening,False
CAT,GapDown,2023-11-22,2023-11-24,237.5157,238.2301,0.301,0.3,1,max_hold 939d (+0.3%),evening,False
AON,Pullback50,2023-11-22,2023-11-24,323.4286,324.2348,0.249,0.25,1,max_hold 939d (+0.2%),evening,False
APP,Pullback50,2023-11-22,2023-11-24,39.24,39.21,-0.076,-0.08,1,max_hold 939d (-0.1%),evening,False
AMGN,Pullback50,2023-11-24,2023-11-27,245.9764,245.9486,-0.011,-0.01,1,max_hold 937d (-0.0%),evening,False
APP,Pullback50,2023-11-24,2023-11-27,39.49,39.25,-1.04,-1.05,1,stop_loss (-0.6%),evening,False
APP,Pullback50,2023-11-27,2023-11-28,39.39,39.43,0.102,0.1,1,max_hold 934d (+0.1%),evening,False
BDX,MomReversal,2023-11-29,2023-11-30,175.2527,175.6914,0.25,0.25,1,max_hold 932d (+0.3%),evening,True
AMGN,Pullback50,2023-11-29,2023-11-30,247.0328,248.0613,0.416,0.42,1,max_hold 932d (+0.4%),evening,False
APP,Pullback50,2023-11-29,2023-11-30,39.03,38.93,-0.256,-0.26,1,max_hold 932d (-0.3%),evening,False
BIIB,RSIRecovery,2023-11-29,2023-11-30,232.06,232.68,0.267,0.27,1,max_hold 932d (+0.3%),evening,False
CSCO,MomReversal,2023-11-30,2023-12-01,45.189,45.0956,-0.207,-0.04,1,max_hold 931d (-0.2%),evening,True
APO,GapDown,2023-11-30,2023-12-01,88.6512,88.2946,-0.402,-0.08,1,max_hold 931d (-0.4%),evening,False
AMGN,Pullback50,2023-11-30,2023-12-01,249.8497,250.1462,0.119,0.02,1,max_hold 931d (+0.1%),evening,False
ACGL,Pullback50,2023-11-30,2023-12-01,79.5807,79.5902,0.012,0.0,1,max_hold 931d (+0.0%),evening,False
CASY,Pullback50,2023-11-30,2023-12-01,272.2376,272.9592,0.265,0.05,1,max_hold 931d (+0.3%),evening,False
ADP,Pullback50,2023-12-01,2023-12-04,218.1779,216.7355,-1.14,-1.15,1,stop_loss (-0.7%),evening,False
ADP,Pullback50,2023-12-04,2023-12-05,217.8407,217.7939,-0.022,-0.02,1,max_hold 927d (-0.0%),evening,False
CAT,Pullback50,2023-12-04,2023-12-05,245.9539,245.0173,-0.381,-0.38,1,max_hold 927d (-0.4%),evening,False
AXP,VolumeSpike,2023-12-05,2023-12-06,165.9684,166.9894,0.615,0.62,1,max_hold 926d (+0.6%),evening,True
CAT,Pullback50,2023-12-05,2023-12-06,246.3787,247.9331,0.631,0.63,1,max_hold 926d (+0.6%),evening,False
BX,VolumeSpike,2023-12-06,2023-12-07,103.8559,104.245,0.375,0.37,1,max_hold 925d (+0.4%),evening,True
C,VolumeSpike,2023-12-06,2023-12-07,44.4535,44.5278,0.167,0.17,1,max_hold 925d (+0.2%),evening,True
ADP,Pullback50,2023-12-06,2023-12-07,217.6253,218.1435,0.238,0.24,1,max_hold 925d (+0.2%),evening,False
GOOGL,VolumeSpike,2023-12-07,2023-12-08,135.7265,133.0205,-1.994,-1.36,1,stop_loss (-2.0%),evening,True
GOOG,VolumeSpike,2023-12-07,2023-12-08,137.24,134.4744,-2.015,-1.38,1,stop_loss (-2.0%),evening,True
CIEN,VolumeSpike,2023-12-07,2023-12-08,46.31,46.55,0.518,0.35,1,max_hold 924d (+0.5%),evening,True
CTAS,VolumeSpike,2023-12-07,2023-12-08,135.5341,134.4841,-0.96,-0.66,1,stop_loss (-0.8%),evening,True
AMGN,Pullback50,2023-12-07,2023-12-08,251.397,251.2674,-0.052,-0.04,1,max_hold 924d (-0.1%),evening,False
ALLE,VolumeSpike,2023-12-08,2023-12-11,106.655,106.3747,-0.263,-0.21,1,max_hold 923d (-0.3%),evening,True
APH,VolumeSpike,2023-12-08,2023-12-11,45.6796,45.8854,0.45,0.36,1,max_hold 923d (+0.5%),evening,True
CARR,VolumeSpike,2023-12-08,2023-12-11,53.4626,53.5013,0.072,0.06,1,max_hold 923d (+0.1%),evening,True
AON,Pullback50,2023-12-08,2023-12-11,318.631,319.9189,0.404,0.32,1,max_hold 923d (+0.4%),evening,False
BG,Pullback50,2023-12-08,2023-12-11,96.9816,97.093,0.115,0.09,1,max_hold 923d (+0.1%),evening,False
APP,MomReversal,2023-12-11,2023-12-12,36.74,36.56,-0.49,-0.26,1,max_hold 920d (-0.5%),evening,True
CINF,VolumeSpike,2023-12-11,2023-12-12,97.7073,97.7919,0.087,0.05,1,max_hold 920d (+0.1%),evening,True
ALB,GapDown,2023-12-11,2023-12-12,121.1143,121.1143,-0.0,-0.0,1,max_hold 920d (-0.0%),evening,False
GOOGL,Pullback50,2023-12-11,2023-12-12,132.1185,130.6515,-5.04,-2.67,1,stop_loss (-1.1%),evening,False
GOOG,Pullback50,2023-12-11,2023-12-12,133.5228,132.1053,-4.96,-2.62,1,stop_loss (-1.1%),evening,False
GOOGL,Pullback50,2023-12-12,2023-12-13,131.3552,132.2077,0.649,0.65,1,max_hold 919d (+0.6%),evening,False
GOOG,Pullback50,2023-12-12,2023-12-13,132.472,133.3692,0.677,0.68,1,max_hold 919d (+0.7%),evening,False
CASY,Pullback50,2023-12-12,2023-12-13,269.5389,272.9394,1.262,1.26,1,max_hold 919d (+1.3%),evening,False
APA,MomReversal,2023-12-13,2023-12-14,31.4884,32.139,2.066,2.06,1,max_hold 918d (+2.1%),evening,True
ADBE,VolumeSpike,2023-12-13,2023-12-14,624.26,593.0,-5.008,-4.99,1,stop_loss (-5.0%),evening,True
