date,symbol,signal_type,entry_price,entry_equity
2026-05-25,AZO,VolumeSpike,3406.5,508.76
2026-05-25,CVNA,MomReversal,68.28,508.76
2026-05-25,CVX,Pullback50,191.43,508.76
2026-05-25,DTE,Pullback50,145.3,508.76
2026-05-25,ETN,Pullback50,391.35,508.76
2026-05-25,EIX,Pullback50,71.18,508.76
2026-05-25,XOM,Pullback50,154.92,508.76
2026-05-25,GD,Pullback50,342.89,508.76
2026-05-25,HSIC,Pullback50,74.21,508.76
2026-05-26,ABNB,Pullback50,135.22,509.58
2026-05-26,AMCR,Pullback50,39.12,509.57
2026-05-26,AEP,Pullback50,131.98,509.72
2026-05-26,AME,Pullback50,227.28,509.68
2026-05-26,APA,Pullback50,38.94,509.7
2026-05-26,CB,Pullback50,329.11,509.7
2026-05-26,DOV,Pullback50,213.48,509.56
2026-05-26,EA,Pullback50,200.75,509.61
2026-05-26,GILD,Pullback50,135.81,509.58
2026-05-26,HIG,Pullback50,136.54,509.53
2026-05-26,OXY,Pullback50,58.85,509.52
2026-05-26,O,Pullback50,62.13,509.59
2026-05-26,SNA,Pullback50,370.21,509.52
2026-05-26,VZ,Pullback50,48.33,509.6
2026-05-27,AMCR,Pullback50,39.65,504.54
2026-05-27,COST,Pullback50,1005.81,504.51
2026-05-27,CRWD,GapDown,644.77,504.53
2026-05-27,DTE,Pullback50,145.13,504.53
2026-05-27,EIX,Pullback50,71.52,504.54
2026-05-27,FAST,Pullback50,44.78,504.59
2026-05-27,HSY,Pullback50,198.83,504.59
2026-05-27,PODD,GapDown,146.21,504.57
2026-05-27,JNJ,Pullback50,231.6,504.62
2026-05-27,PANW,GapDown,248.42,504.61
2026-05-27,DGX,Pullback50,194.26,504.58
2026-05-27,REGN,MomReversal,630.42,504.64
2026-05-27,TSCO,MomReversal,30.59,504.63
2026-05-27,VLO,Pullback50,241.34,504.61
2026-05-27,VRTX,Pullback50,438.54,504.62
2026-05-27,WBD,Pullback50,27.12,504.6
2026-05-27,AA,GapDown,72.92,504.43
2026-05-27,CPRI,GapDown,17.94,504.42
2026-05-28,AEE,Pullback50,110.99,503.65
2026-05-28,BG,Pullback50,123.81,503.63
2026-05-28,CINF,Pullback50,162.2,503.6
2026-05-28,FANG,Pullback50,195.02,503.6
2026-05-28,DTE,Pullback50,145.99,503.63
2026-05-28,SATS,Pullback50,124.09,503.54
2026-05-28,ETR,Pullback50,111.44,503.52
2026-05-28,EXC,Pullback50,46.55,503.53
2026-05-28,ABNB,Pullback50,133.91,503.48
2026-05-28,ALGN,Pullback50,172.66,503.5
2026-05-29,AFL,Pullback50,112.89,501.03
2026-05-29,ALGN,Pullback50,174.76,500.96
2026-05-29,AMCR,Pullback50,39.39,500.94
2026-05-29,AME,Pullback50,225.69,500.92
2026-05-29,CASY,Pullback50,779.89,500.88
2026-05-29,CNP,Pullback50,42.38,500.87
2026-05-29,CFG,Pullback50,62.29,500.83
2026-05-29,EA,Pullback50,201.34,500.8
2026-05-29,FAST,Pullback50,44.7,500.81
2026-05-29,FTV,Pullback50,58.96,500.75
2026-05-29,GILD,Pullback50,135.8,500.71
2026-05-29,JCI,Pullback50,137.39,500.69
2026-05-29,KEY,Pullback50,21.3,500.68
2026-05-29,NSC,Pullback50,306.01,500.8
2026-05-29,TJX,Pullback50,155.85,500.83
2026-05-29,TT,Pullback50,457.18,500.87
2026-06-01,CIEN,GapDown,570.49,496.21
2026-06-01,FIX,GapDown,1810.0,496.19
2026-06-01,FDX,GapDown,327.27,496.2
2026-06-01,INTC,GapDown,110.74,496.13
2026-06-01,LITE,GapDown,874.14,496.14
2026-06-01,NEM,GapDown,107.38,496.22
2026-06-01,FN,GapDown,646.08,496.13
2026-06-01,KNF,GapDown,76.49,496.17
2026-06-01,PII,GapDown,68.25,496.05
2026-06-01,RRX,GapDown,195.81,495.96
2026-06-01,AFL,Pullback50,112.27,495.93
2026-06-01,ABNB,Pullback50,133.98,495.96
2026-06-01,BG,Pullback50,125.14,495.75
2026-06-01,FANG,Pullback50,197.67,495.61
2026-06-01,EA,Pullback50,201.94,495.61
2026-06-01,EME,Pullback50,836.78,495.36
2026-06-01,EVRG,Pullback50,81.45,495.24
2026-06-01,FTV,Pullback50,58.59,495.25
2026-06-01,KEYS,Pullback50,332.8,495.24
2026-06-01,LITE,Pullback50,874.14,495.27
2026-06-01,MTB,Pullback50,212.18,495.23
2026-06-01,OXY,Pullback50,58.31,495.08
2026-06-01,DGX,Pullback50,195.48,495.22
2026-06-02,AXON,GapDown,467.02,505.61
2026-06-02,DDOG,GapDown,265.85,505.57
2026-06-02,PANW,GapDown,294.94,505.56
2026-06-02,CRM,GapDown,201.12,505.43
2026-06-02,WDAY,GapDown,150.0,505.39
2026-06-02,AVTR,GapDown,8.88,505.44
2026-06-02,APPF,GapDown,175.32,507.96
2026-06-02,DT,GapDown,44.73,507.99
2026-06-02,NTNX,GapDown,55.12,508.07
2026-06-02,OKTA,GapDown,136.77,508.03
2026-06-02,QLYS,GapDown,113.26,508.06
2026-06-03,APO,GapDown,125.25,501.79
2026-06-03,ARES,GapDown,122.58,501.79
2026-06-03,BX,GapDown,110.8,501.67
2026-06-03,KKR,GapDown,91.16,501.79
2026-06-03,CG,GapDown,42.61,501.82
2026-06-03,THO,GapDown,76.48,501.64
2026-06-03,LNT,Pullback50,71.85,501.58
2026-06-03,ALL,Pullback50,213.43,501.62
2026-06-03,AME,Pullback50,228.78,501.61
2026-06-03,BIIB,Pullback50,188.88,501.35
2026-06-03,CNP,Pullback50,42.27,501.4
2026-06-03,CVX,Pullback50,189.4,501.24
2026-06-03,DRI,Pullback50,197.51,501.15
2026-06-03,DOV,Pullback50,214.19,501.12
2026-06-03,DTE,Pullback50,144.24,501.25
2026-06-03,EA,Pullback50,202.37,501.32
2026-06-04,AMAT,GapDown,489.79,503.69
2026-06-04,CRWD,GapDown,688.49,503.64
2026-06-04,DELL,GapDown,407.48,503.59
2026-06-04,GNRC,GapDown,277.56,503.7
2026-06-04,HPE,GapDown,53.63,503.57
2026-06-04,INTC,GapDown,110.32,503.36
2026-06-04,KLAC,GapDown,2068.82,503.41
2026-06-04,LRCX,GapDown,330.74,503.34
2026-06-04,ON,GapDown,127.86,503.1
2026-06-04,PANW,GapDown,273.87,503.13
2026-06-04,QCOM,GapDown,240.24,503.36
2026-06-05,LULU,GapDown,114.98,500.43
2026-06-05,GWRE,GapDown,141.98,500.38
2026-06-05,HIMS,GapDown,27.19,500.51
2026-06-05,ABNB,Pullback50,134.66,500.49
2026-06-05,LNT,Pullback50,72.07,500.46
2026-06-05,CNP,Pullback50,42.47,500.45
2026-06-05,CB,Pullback50,322.36,500.64
2026-06-05,CHD,Pullback50,95.2,500.57
2026-06-05,CINF,Pullback50,163.35,500.45
2026-06-05,CL,Pullback50,86.99,500.6
2026-06-05,DRI,Pullback50,196.81,500.49
2026-06-05,DTE,Pullback50,144.22,500.53
2026-06-05,EVRG,Pullback50,82.7,500.4
2026-06-05,HWM,Pullback50,251.4,500.27
2026-06-05,IFF,Pullback50,73.78,500.46
2026-06-05,PCAR,Pullback50,117.9,500.39
2026-06-05,PCG,Pullback50,16.94,500.46
2026-06-05,PNW,Pullback50,101.6,500.55
2026-06-08,ABNB,Pullback50,134.01,498.46
2026-06-08,BKR,Pullback50,64.11,498.46
2026-06-08,CVX,Pullback50,189.99,498.49
2026-06-08,FANG,Pullback50,197.05,498.44
2026-06-08,DTE,Pullback50,145.33,498.43
2026-06-08,ETN,Pullback50,400.55,498.4
2026-06-08,XOM,Pullback50,152.12,498.4
2026-06-08,HAL,Pullback50,40.01,498.42
2026-06-08,JNJ,Pullback50,233.53,498.44
2026-06-08,L,Pullback50,107.04,498.4
2026-06-08,OKE,Pullback50,88.77,498.4
2026-06-08,SNPS,Pullback50,469.42,498.34
2026-06-08,TXT,Pullback50,91.14,498.3
2026-06-08,TT,Pullback50,464.15,498.35
2026-06-08,TRV,Pullback50,302.17,498.49
2026-06-08,TFC,Pullback50,49.18,498.59
2026-06-08,AM,Pullback50,21.63,498.54
2026-06-08,BKH,Pullback50,73.01,498.5
2026-06-08,BURL,Pullback50,319.59,498.55
2026-06-08,CFR,Pullback50,140.91,498.55
2026-06-08,CHRD,Pullback50,138.77,498.45
2026-06-08,FAF,Pullback50,66.7,498.39
2026-06-08,KEX,Pullback50,142.65,498.56
2026-06-09,COIN,GapDown,162.68,498.19
2026-06-09,NOW,GapDown,111.86,498.15
2026-06-09,NOVT,GapDown,161.72,498.03
2026-06-09,ABNB,Pullback50,134.99,498.13
2026-06-09,AME,Pullback50,230.31,498.18
2026-06-09,AVGO,Pullback50,405.67,498.05
2026-06-09,CB,Pullback50,322.57,498.04
2026-06-09,CL,Pullback50,86.55,497.99
2026-06-09,DRI,Pullback50,199.06,497.9
2026-06-09,DE,Pullback50,578.1,497.91
2026-06-09,EME,Pullback50,842.76,497.81
2026-06-09,GATX,VolumeSpike,174.58,491.93
2026-06-10,JBHT,GapDown,279.01,490.77
2026-06-10,MU,GapDown,927.52,490.8
2026-06-10,NEM,GapDown,96.74,490.79
2026-06-10,ODFL,GapDown,233.18,490.7
2026-06-10,ORCL,GapDown,208.48,490.8
2026-06-10,AA,GapDown,71.16,490.69
2026-06-10,BILL,GapDown,33.99,490.63
2026-06-10,HL,GapDown,14.46,490.64
2026-06-10,KNX,GapDown,78.78,490.7
2026-06-10,PEGA,GapDown,33.82,490.71
2026-06-10,SAIA,GapDown,453.83,490.71
2026-06-10,XPO,GapDown,216.91,490.68
2026-06-10,GLW,Pullback50,176.95,490.6
2026-06-10,EA,Pullback50,203.38,490.61
2026-06-10,FCX,Pullback50,64.4,490.76
2026-06-10,HAL,Pullback50,40.08,490.87
2026-06-10,NVDA,Pullback50,205.61,491.09
2026-06-10,OKE,Pullback50,88.96,490.94
2026-06-10,SNPS,Pullback50,471.23,490.6
2026-06-11,ALGN,Pullback50,171.73,484.84
2026-06-11,AEE,Pullback50,109.71,484.83
2026-06-11,CNP,Pullback50,43.02,484.84
2026-06-11,ED,Pullback50,108.78,484.83
2026-06-11,DOV,Pullback50,216.35,484.84
2026-06-11,DUK,Pullback50,125.92,484.84
2026-06-11,EMR,Pullback50,138.9,484.83
2026-06-11,ETR,Pullback50,111.78,484.83
2026-06-11,EXC,Pullback50,45.9,484.83
2026-06-11,FCX,Pullback50,64.1,484.84
2026-06-11,NI,Pullback50,47.04,484.85
2026-06-11,NDSN,Pullback50,282.25,484.87
2026-06-11,NSC,Pullback50,309.27,484.87
2026-06-11,O,Pullback50,62.44,484.87
2026-06-11,SO,Pullback50,94.65,484.88
2026-06-11,SBUX,Pullback50,100.26,484.9
2026-06-11,ADC,Pullback50,75.83,484.88
2026-06-11,AM,Pullback50,21.75,484.87
2026-06-11,BC,Pullback50,79.14,484.83
2026-06-11,BKH,Pullback50,73.63,484.82
2026-06-11,FCFS,Pullback50,215.88,484.77
2026-06-11,FLR,Pullback50,48.1,484.71
2026-06-11,GBCI,Pullback50,48.15,484.72
2026-06-11,GEF,Pullback50,65.83,484.71
2026-06-11,IDA,Pullback50,143.28,484.75
2026-06-11,JHG,Pullback50,51.84,484.74
2026-06-11,LECO,Pullback50,257.55,484.71
2026-06-11,NJR,Pullback50,55.75,484.67
2026-06-11,NWE,Pullback50,71.03,484.6
2026-06-11,OGE,Pullback50,48.01,484.57
2026-06-11,OHI,Pullback50,46.25,484.55
2026-06-11,RBC,Pullback50,587.07,484.54
2026-06-11,ROIV,Pullback50,28.98,484.59
2026-06-11,RRX,Pullback50,205.0,484.54
2026-06-11,SMG,Pullback50,60.81,484.51
2026-06-11,STAG,Pullback50,38.27,484.49
2026-06-11,SWX,Pullback50,89.67,484.45
2026-06-11,TEX,Pullback50,60.96,484.45
2026-06-11,TTC,Pullback50,92.44,484.37
2026-06-11,KDP,VolumeSpike,31.46,486.18
2026-06-11,ORCL,GapDown,183.88,486.16
2026-06-11,GOOG,Pullback50,354.7,486.16
2026-06-11,XYZ,Pullback50,69.28,486.13
2026-06-11,BA,Pullback50,221.44,486.12
2026-06-11,BMY,Pullback50,57.2,485.95
2026-06-11,GLW,Pullback50,176.85,485.88
2026-06-11,DE,Pullback50,570.74,485.8
